,index,N_EAN13,N_MARQUE,N_SAME_PRODUCT,N_GAMME,N_RECETTES,N_ORGANIC,N_FORMAT,N_WEIGHT_num,N_EMBALLAGE,N_COMPTE,N_STD/PROMO,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018,N_ITEM,N_NIELSEN_DESCRIPTION,N_INITIAL_INDEX,N_CATEGORY,N_COUNT,O_EAN13,O_product_name_fr,O_product_name,O_brands,O_brands_tags_str,O_brands_tags,O_serving_size,O_serving_quantity,O_countries_hierarchy,O_cities_tags,O_manufacturing_places,O_purchase_places,O_countries_tags,O_categories,O_category_properties,O_pnns_groups_1,O_pnns_groups_2,O_compared_to_category,O_interface_version_modified,O_ingredients_n,O_ingredients_text,O_ingredients,O_salt_content,O_max_salt_content,O_min_salt_content,O_oil_content,O_max_oil_content,O_min_oil_content,O_oil_type,O_nutriments,O_energy_100g,O_energy_kcal_100g,O_saturated_fat_100g,O_fat_100g,O_carbohydrates_100g,O_sugars_100g,O_fruits_vegetables_nuts_estimate_from_ingredients_100g,O_proteins_100g,O_sodium_100g,O_salt_100g,O_nutrition_score_fr_100g,O_fiber_100g,O_nova_group_100g,O_COUNT,O_date_modified
0,1542,3760052155536,AUT_MQ,AUT_MQ | SCE_CLAS | CITRON_VERT_PIMENT_DOUX | AUT_EMB | NON_BIO,SCE_CLAS,CITRON_VERT_PIMENT_DOUX,NON_BIO,PF,100,AUT_EMB,1CT,STD,35.1,1563.3000000000006,3760052155536,AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CITRON_VERT_PIMENT_DOUX_1CT_100G_*_NON_BIO,1542,AUT_SCE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1543,8854404005213,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_JAUNE_THAI | AUT_EMB | NON_BIO,SCE_CLAS,CURRY_JAUNE_THAI,NON_BIO,PF,300,AUT_EMB,1CT,STD,14902.2,11908.000000000002,8854404005213,AUT_SCE_AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CURRY_JAUNE_THAI_1CT_300G_*_NON_BIO,1543,AUT_SCE,1,8854404005213,Blue Elephant Sauce De Curry Jaune 300G,Blue Elephant Sauce De Curry Jaune 300G,Blue Elephant,['blue-elephant'],['blue-elephant'],,,['en:france'],,,,['en:france'],,{},unknown,unknown,,20150316.jqm2,51.0,"O lait de 75.5%, oignon 6.5%, pâte de wmyjaune (citronnelle, ail, huile de soja entièrement raffinée, échalote, sel, pimentrouge séché, coriandre poudre, poudre de wrot, (curcuma, coriandre, fenugrec, blé (gluten), sel, raines de cumin, fenouil, moutarde, piment, porvre%lanc), gingembre, citon kafir, épiœs@tiandre pou re, cumin poudre, clove poudre, de wny, noix de muscade, cannelle, feuilles de laurier, curcuma), racines de coriandre, cumin, pâte de crevettes (crevettes, sel), Wrwma) 6.3%, suŒe de palme, échalote, huile de soja entièrement raffinée, ail, pâte de tamarin, sucre, sauce poisson (poisson, sel, sucre) 0,8%, gingembre, racine de wiandre, sel.","['O lait de', 'oignon', 'pâte de wmyjaune', 'citronnelle', 'ail', 'huile de soja entièrement raffinée', 'échalote', 'sel', 'pimentrouge séché', 'coriandre poudre', 'poudre de wrot', 'gingembre', 'citon kafir', 'épiœs@tiandre pou re', 'cumin poudre', 'clove poudre', 'de wny', 'noix de muscade', 'cannelle', 'feuilles de laurier', 'curcuma', 'racines de coriandre', 'cumin', 'pâte de crevettes', 'Wrwma', 'suŒe de palme', 'échalote', 'huile de soja entièrement raffinée', 'ail', 'pâte de tamarin', 'sucre', 'sauce poisson', 'gingembre', 'racine de wiandre', 'sel', 'curcuma', 'coriandre', 'fenugrec', 'blé', 'sel', 'raines de cumin', 'fenouil', 'moutarde', 'piment', 'porvre%lanc', 'crevettes', 'sel', 'poisson', 'sel', 'sucre', 'gluten']","[{'vegan': 'yes', 'rank': 8, 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}, {'text': 'sel', 'id': 'en:salt', 'vegan': 'yes', 'rank': 35, 'vegetarian': 'yes'}, {'vegan': 'yes', 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}, {'id': 'en:salt', 'text': 'sel', 'vegetarian': 'yes', 'vegan': 'yes'}, {'vegetarian': 'yes', 'vegan': 'yes', 'id': 'en:salt', 'text': 'sel'}]",0.0,0.0,[],0.0,0.0,,"{'energy': 782, 'sugars_value': 3, 'energy-kcal': 187, 'energy_100g': 782, 'salt': 1.1, 'sodium': 0.44000000000000006, 'energy-kcal_value': 187, 'sodium_100g': 0.44000000000000006, 'carbon-footprint-from-known-ingredients_100g': 3.9, 'nova-group': 4, 'salt_unit': '', 'sugars_100g': 3, 'nova-group_100g': 4, 'sugars_unit': '', 'nova-group_serving': 4, 'salt_value': 1.1, 'fat_unit': '', 'fat_value': 15.8, 'carbohydrates_value': 7.8, 'proteins_value': 2.4, 'energy-kcal_unit': 'kcal', 'sugars': 3, 'energy-kcal_100g': 187, 'energy_value': 187, 'proteins': 2.4, 'carbohydrates_100g': 7.8, 'proteins_unit': '', 'salt_100g': 1.1, 'sodium_value': 0.44000000000000006, 'energy_unit': 'kcal', 'fat': 15.8, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 6.5, 'proteins_100g': 2.4, 'carbohydrates': 7.8, 'saturated-fat_value': 12.7, 'saturated-fat_unit': '', 'fat_100g': 15.8, 'sodium_unit': 'g', 'saturated-fat_100g': 12.7, 'carbohydrates_unit': '', 'saturated-fat': 12.7}",782.0,187.0,12.7,15.8,7.8,3.0,6.5,2.4,0.4400000000000001,1.1,,,4.0,1.0,20150316
2,1544,8858135071028,AUT_MQ,AUT_MQ | SCE_CLAS | CURRY_VERT_&_LEGUMES | AUT_EMB | NON_BIO,SCE_CLAS,CURRY_VERT_&_LEGUMES,NON_BIO,PF,300,AUT_EMB,1CT,STD,7141.299999999997,0.0,8858135071028,SCE_AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CURRY_VERT_&_LEGUMES_1CT_300G_*_NON_BIO,1544,AUT_SCE,1,8858135071028,Real thai curry vert,Grünes Curry mit Gemüse,Real Thai,['real-thai'],['real-thai'],,,['en:germany'],[],Thailand,Deutschland,['en:germany'],"Lebensmittel, Fertiggerichte",{},Composite foods,One-dish meals,en:meals,20150316.jqm2,23.0,"Kokosnussmilch (48%), Bambussprossen (15%), Auberginen (10%), Wasser, Wasserkastanie, grüne Currypaste (5%) (grüner Chili, Schalotten, Knoblauch, Koriander, Kuminsamen, Pfeffer, Galgant, Zitronengras, Kaffirlimettenschale, Speisesalz, Speiseöl (_Sojaöl_)), Palmzucker, süßer Basilikum, roter Chili, Speisesalz, Erbsenaubergine.","['Kokosnussmilch', 'Bambussprossen', 'Auberginen', 'Wasser', 'Wasserkastanie', 'grüne Currypaste', 'Palmzucker', 'süßer Basilikum', 'roter Chili', 'Speisesalz', 'Erbsenaubergine', 'grüner Chili', 'Schalotten', 'Knoblauch', 'Koriander', 'Kuminsamen', 'Pfeffer', 'Galgant', 'Zitronengras', 'Kaffirlimettenschale', 'Speisesalz', 'Speiseöl', '_Sojaöl_']",[],0.0,0.0,[],0.0,0.0,,"{'sugars_unit': 'g', 'energy-kj': 399, 'energy-kj_100g': 399, 'salt_unit': 'g', 'sugars_100g': 3.7, 'nova-group_100g': 3, 'nova-group': 3, 'fiber_100g': 1.6, 'energy-kcal_value': 96, 'nutrition-score-fr': 6, 'sodium_100g': 0.6, 'salt': 1.5, 'energy-kj_unit': 'kJ', 'sodium': 0.6, 'energy-kj_value': 399, 'fiber_unit': 'g', 'fiber': 1.6, 'sugars_value': 3.7, 'energy': 399, 'energy-kcal': 96, 'energy_100g': 399, 'saturated-fat': 2.4, 'nutrition-score-fr_serving': 6, 'sodium_unit': 'g', 'saturated-fat_100g': 2.4, 'carbohydrates_unit': 'g', 'saturated-fat_value': 2.4, 'saturated-fat_unit': 'g', 'fat_100g': 6.8, 'nutrition-score-fr_100g': 6, 'proteins_100g': 1.5, 'carbohydrates': 6.4, 'salt_100g': 1.5, 'sodium_value': 0.6, 'carbon-footprint-from-known-ingredients_product': 243, 'energy_unit': 'kJ', 'fat': 6.8, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 73, 'energy_value': 399, 'proteins': 1.5, 'carbohydrates_100g': 6.4, 'proteins_unit': 'g', 'energy-kcal_100g': 96, 'fiber_value': 1.6, 'salt_value': 1.5, 'nova-group_serving': 3, 'fat_unit': 'g', 'fat_value': 6.8, 'proteins_value': 1.5, 'carbohydrates_value': 6.4, 'sugars': 3.7, 'energy-kcal_unit': 'kcal'}",399.0,96.0,2.4,6.8,6.4,3.7,73.0,1.5,0.6,1.5,6.0,1.6,3.0,1.0,20150316
3,1545,3760052155512,AUT_MQ,AUT_MQ | SCE_CLAS | YUZU | AUT_EMB | NON_BIO,SCE_CLAS,YUZU,NON_BIO,PF,100,AUT_EMB,1CT,STD,0.0,1010.2,3760052155512,AUT_SCE_AUT_EMB_AUT_FAB_AUT_MQ_SCE_CLAS_PF_YUZU_1CT_100G_*_NON_BIO,1545,AUT_SCE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1547,0,MDD,MDD | AUT_SCE |  | BRIC | ,,,separator,,0,BRIC,,,139057.00000000006,0.0,,AUT_SCE_BRIC_MDD,1547,AUT_SCE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1550,3416952625159,AUT_MQ,AUT_MQ | SCE_CLAS | CEPES_&_AU_JUS_DE_TRUFFES_NOIR | BTE_FER | NON_BIO,SCE_CLAS,CEPES_&_AU_JUS_DE_TRUFFES_NOIR,NON_BIO,PF,200,BTE_FER,1CT,STD,8020.099999999998,6524.6,3416952625159,FER_AUT_FAB_AUT_MQ_SCE_CLAS_PF_CEPES_&_AU_JUS_DE_TRUFFES_NOIR_1CT_200G_*_NON_BIO,1550,AUT_SCE,1,3416952625159,Sauce aux cepes,Sauce aux cepes,Les Bories,['les-bories'],['les-bories'],,,['en:france'],[],,,['en:france'],Sauce aux cèpes,{},unknown,unknown,,20150316.jqm2,19.0,"Eau, cèpes 10%, vin blanc (suilfites), jus de trfis de blé (gluten), crème fraîche, amidon transformé de mais Porto (sulfites), arômes, ail, échalotes (échalotes, acifer conservateur:anhydride sulfureux,sel, concentre de tomate ordinaire, sucre, poivre.","['Eau', 'cèpes', 'vin blanc', 'jus de trfis de blé', 'crème fraîche', 'amidon transformé de mais Porto', 'arômes', 'ail', 'échalotes', 'échalotes', 'acifer conservateur', 'sel', 'concentre de tomate ordinaire', 'sucre', 'poivre', 'suilfites', 'gluten', 'sulfites', 'anhydride sulfureux']","[{'text': 'sel', 'id': 'en:salt', 'rank': 12, 'vegan': 'yes', 'percent_max': 8, 'vegetarian': 'yes', 'percent_min': 0}]",8.0,0.0,[],0.0,0.0,,"{'carbon-footprint-from-known-ingredients_100g': 19, 'sodium_100g': 0.44000000000000006, 'nutrition-score-fr': 5, 'energy-kcal_value': 76, 'sodium': 0.44000000000000006, 'salt': 1.1, 'energy_100g': 318, 'energy-kcal': 76, 'sugars_value': 1.8, 'energy': 318, 'sugars_unit': 'g', 'nova-group_100g': 4, 'salt_unit': 'g', 'sugars_100g': 1.8, 'nova-group': 4, 'fat': 5, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'salt_100g': 1.1, 'sodium_value': 0.44000000000000006, 'energy_unit': 'kcal', 'carbon-footprint-from-known-ingredients_product': 38, 'carbohydrates_100g': 6.5, 'proteins_unit': 'g', 'energy_value': 76, 'proteins': 0.9, 'energy-kcal_100g': 76, 'carbohydrates_value': 6.5, 'fat_value': 5, 'proteins_value': 0.9, 'energy-kcal_unit': 'kcal', 'sugars': 1.8, 'nova-group_serving': 4, 'salt_value': 1.1, 'fat_unit': 'g', 'nutrition-score-fr_serving': 5, 'saturated-fat': 1.5, 'saturated-fat_100g': 1.5, 'carbohydrates_unit': 'g', 'sodium_unit': 'g', 'fat_100g': 5, 'nutrition-score-fr_100g': 5, 'saturated-fat_value': 1.5, 'saturated-fat_unit': 'g', 'carbohydrates': 6.5, 'proteins_100g': 0.9}",318.0,76.0,1.5,5.0,6.5,1.8,0.0,0.9,0.4400000000000001,1.1,5.0,,4.0,1.0,20150316
6,1551,3416360008261,AUT_MQ,AUT_MQ | SCE_CLAS | PERIGUEUX_TRUFFEE_A_1% | BTE_FER | NON_BIO,SCE_CLAS,PERIGUEUX_TRUFFEE_A_1%,NON_BIO,PF,200,BTE_FER,1CT,STD,8660.8,8682.399999999998,3416360008261,SCE_BTE_FER_AUT_FAB_AUT_MQ_SCE_CLAS_PF_PERIGUEUX_TRUFFEE_A_1%_1CT_200G_*_NON_BIO,1551,AUT_SCE,1,3416360008261,Sauce Périgueux truffée à 1 %,Sauce Périgueux truffée à 1 %,,,,,,['en:france'],,,,['en:france'],,{},unknown,unknown,,20150316.jqm2,,,[],[],0.0,0.0,[],0.0,0.0,,"{'sodium': 0.1176, 'salt': 0.294, 'energy-kcal': 70, 'energy_100g': 293, 'energy': 293, 'sugars_value': 3.4, 'energy-kcal_value': 70, 'sodium_100g': 0.1176, 'sugars_100g': 3.4, 'salt_unit': '', 'sugars_unit': '', 'energy-kcal_100g': 70, 'energy-kcal_unit': 'kcal', 'sugars': 3.4, 'carbohydrates_value': 7.4, 'proteins_value': 1.4, 'fat_value': 2, 'fat_unit': '', 'salt_value': 0.294, 'fat': 2, 'energy_unit': 'kcal', 'salt_100g': 0.294, 'sodium_value': 0.1176, 'proteins_unit': '', 'carbohydrates_100g': 7.4, 'proteins': 1.4, 'energy_value': 70, 'fat_100g': 2, 'saturated-fat_unit': '', 'saturated-fat_value': 0.7, 'carbohydrates': 7.4, 'proteins_100g': 1.4, 'saturated-fat': 0.7, 'carbohydrates_unit': '', 'saturated-fat_100g': 0.7, 'sodium_unit': 'g'}",293.0,70.0,0.7,2.0,7.4,3.4,,1.4,0.1176,0.294,,,,1.0,20150316
7,1554,3302762103218,AUT_MQ,AUT_MQ | SCE_CLAS | BEURRE_BLANC_&_CITRON_CONFIT | DOSE | NON_BIO,SCE_CLAS,BEURRE_BLANC_&_CITRON_CONFIT,NON_BIO,FI,50,DOSE,3CT,STD,52713.1,34313.7,3302762103218,DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_BEURRE_BLANC_&_CITRON_CONFIT_3CT_50G_*_NON_BIO,1554,AUT_SCE,1,3302762103218,Sauce beurre blanc citron confit,Sauce beurre blanc citron confit,Christian Potier,['christian-potier'],['christian-potier'],50 g,50.0,['en:france'],[],"France,Carpentras",France,['en:france'],"Epicerie, Sauces",{},Fat and sauces,Dressings and sauces,en:sauces,20120622,20.0,"beurre 27%, eau, crème fraîche, vin blanc, échalote, jus de citron 4.9%, zeste de citron 3 % (sucre, citron 1.3%, eau), amidons modifiés de maïs, vinaigre de vin blanc, sel, huile de tournesol, sucre, épaissisant (gomme xanthane), poivre, thym, extrait de carotte","['beurre', 'eau', 'crème fraîche', 'vin blanc', 'échalote', 'jus de citron', 'zeste de citron', 'amidons modifiés de maïs', 'vinaigre de vin blanc', 'sel', 'huile de tournesol', 'sucre', 'épaissisant', 'poivre', 'thym', 'extrait de carotte', 'sucre', 'citron', 'eau', 'gomme xanthane']","[{'percent_min': 0, 'rank': 10, 'percent_max': '3', 'vegan': 'yes', 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}]",3.0,0.0,"[{'rank': 11, 'percent_min': 0, 'from_palm_oil': 'no', 'text': 'huile de tournesol', 'id': 'en:sunflower-oil', 'vegan': 'yes', 'percent_max': '3', 'vegetarian': 'yes'}]",3.0,0.0,huile de tournesol,"{'carbon-footprint-from-known-ingredients_100g': 2.7600000000000002, 'energy-kcal_value': 267, 'sodium_100g': 0.48, 'nutrition-score-fr': 18, 'sodium': 0.48, 'proteins_serving': 0.25, 'salt': 1.2, 'energy_100g': 1117, 'energy-kcal': 267, 'fiber': 0, 'fiber_unit': 'g', 'sugars_value': 2.9, 'energy': 1117, 'energy_serving': 558, 'fiber_serving': 0, 'sugars_unit': 'g', 'carbon-footprint-from-known-ingredients_serving': 1.38, 'nova-group_100g': 4, 'saturated-fat_serving': 8.85, 'sugars_100g': 2.9, 'salt_unit': 'g', 'fiber_100g': 0, 'fat_serving': 13.4, 'nova-group': 4, 'energy-kcal_serving': 134, 'fat': 26.7, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 12.8, 'salt_100g': 1.2, 'sodium_value': 0.48, 'energy_unit': 'kcal', 'carbon-footprint-from-known-ingredients_product': 4.14, 'carbohydrates_serving': 2.9, 'carbohydrates_100g': 5.8, 'proteins_unit': 'g', 'sodium_serving': 0.24000000000000002, 'salt_serving': 0.6, 'energy_value': 267, 'proteins': 0.5, 'fiber_value': 0, 'energy-kcal_100g': 267, 'fat_value': 26.7, 'proteins_value': 0.5, 'carbohydrates_value': 5.8, 'energy-kcal_unit': 'kcal', 'sugars': 2.9, 'nova-group_serving': 4, 'salt_value': 1.2, 'fat_unit': 'g', 'nutrition-score-fr_serving': 18, 'saturated-fat': 17.7, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 17.7, 'sodium_unit': 'g', 'sugars_serving': 1.45, 'fat_100g': 26.7, 'nutrition-score-fr_100g': 18, 'saturated-fat_value': 17.7, 'saturated-fat_unit': 'g', 'carbohydrates': 5.8, 'proteins_100g': 0.5}",1117.0,267.0,17.7,26.7,5.8,2.9,12.8,0.5,0.48,1.2,18.0,0.0,4.0,1.0,20120622
8,1555,3302762203246,AUT_MQ,AUT_MQ | SCE_CLAS | CEPE | DOSE | NON_BIO,SCE_CLAS,CEPE,NON_BIO,FI,50,DOSE,3CT,STD,26907.0,0.0,3302762203246,AUT_SCE_DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_CEPE_3CT_50G_*_NON_BIO,1555,AUT_SCE,1,3302762203246,L'authentique sauce N7 Cèpes,L'authentique sauce N7 Cèpes,,,,,,['en:france'],,,,['en:france'],,{},unknown,unknown,,20150316.jqm2,,,,,0.0,0.0,,0.0,0.0,,"{'sugars_unit': 'g', 'salt_unit': 'g', 'sugars_100g': 0.8, 'sodium_100g': 0.36, 'energy-kcal_value': 100, 'salt': 0.9, 'sodium': 0.36, 'energy': 418, 'sugars_value': 0.8, 'energy-kcal': 100, 'energy_100g': 418, 'saturated-fat': 5.2, 'sodium_unit': 'g', 'carbohydrates_unit': 'g', 'saturated-fat_100g': 5.2, 'saturated-fat_unit': 'g', 'saturated-fat_value': 5.2, 'fat_100g': 7.8, 'proteins_100g': 1.1, 'carbohydrates': 5.7, 'energy_unit': 'kcal', 'sodium_value': 0.36, 'salt_100g': 0.9, 'fat': 7.8, 'proteins': 1.1, 'energy_value': 100, 'proteins_unit': 'g', 'carbohydrates_100g': 5.7, 'energy-kcal_100g': 100, 'fat_unit': 'g', 'salt_value': 0.9, 'sugars': 0.8, 'energy-kcal_unit': 'kcal', 'carbohydrates_value': 5.7, 'proteins_value': 1.1, 'fat_value': 7.8}",418.0,100.0,5.2,7.8,5.7,0.8,,1.1,0.36,0.9,,,,1.0,20150316
9,1556,3302762203208,AUT_MQ,AUT_MQ | SCE_CLAS | CREME_AUX_POIREAUX | DOSE | NON_BIO,SCE_CLAS,CREME_AUX_POIREAUX,NON_BIO,FI,50,DOSE,3CT,STD,12438.2,6684.0999999999985,3302762203208,AUT_SCE_DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_CREME_AUX_POIREAUX_3CT_50G_*_NON_BIO,1556,AUT_SCE,1,3302762203208,Crémée aux poireaux Christian Potier maître saucier,Crémée aux poireaux Christian Potier maître saucier,Christian Potier,['christian-potier'],['christian-potier'],50g,50.0,['en:france'],[],,,['en:france'],"Epicerie, Sauces, Sauces pour poissons",{},Fat and sauces,Dressings and sauces,en:sauces-for-fishes,20150316.jqm2,,,[],[],0.0,0.0,[],0.0,0.0,,"{'energy_value': 87, 'proteins': 1.1, 'carbohydrates_100g': 4.6, 'sodium_serving': 0.12, 'proteins_unit': 'g', 'salt_serving': 0.3, 'sodium_value': 0.12, 'salt_100g': 0.6, 'energy_unit': 'kcal', 'carbohydrates_serving': 2.3, 'fat': 8.1, 'energy-kcal_serving': 87, 'salt_value': 0.3, 'fat_unit': 'g', 'proteins_value': 1.1, 'carbohydrates_value': 2.3, 'fat_value': 8.1, 'sugars': 1.5, 'energy-kcal_unit': 'kcal', 'energy-kcal_100g': 174, 'sugars_serving': 1.5, 'sodium_unit': 'g', 'carbohydrates_unit': 'g', 'saturated-fat_100g': 9.8, 'saturated-fat': 4.9, 'nutrition-score-fr_serving': 13, 'proteins_100g': 2.2, 'carbohydrates': 2.3, 'saturated-fat_value': 4.9, 'saturated-fat_unit': 'g', 'fat_100g': 16.2, 'nutrition-score-fr_100g': 13, 'nutrition-score-fr': 13, 'energy-kcal_value': 87, 'sodium_100g': 0.24000000000000002, 'energy': 364, 'sugars_value': 1.5, 'energy_100g': 728, 'energy-kcal': 87, 'salt': 0.3, 'sodium': 0.12, 'proteins_serving': 1.1, 'sugars_unit': 'g', 'energy_serving': 364, 'fat_serving': 8.1, 'saturated-fat_serving': 4.9, 'sugars_100g': 3, 'salt_unit': 'g'}",728.0,174.0,9.8,16.2,4.6,3.0,,2.2,0.24,0.6,13.0,,,1.0,20150316
10,1557,3302762103133,AUT_MQ,AUT_MQ | SCE_CLAS | LEGUMES_DU_SOLEIL | DOSE | NON_BIO,SCE_CLAS,LEGUMES_DU_SOLEIL,NON_BIO,FI,50,DOSE,3CT,STD,2966.200000000001,3327.8,3302762103133,AUT_SCE_DOSE_AUT_FAB_AUT_MQ_SCE_CLAS_FI_LEGUMES_DU_SOLEIL_3CT_50G_*_NON_BIO,1557,AUT_SCE,1,3302762103133,Sauce légumes du soleil,Sauce légumes du soleil,,,,,,['en:france'],,,,['en:france'],,{},unknown,unknown,,20150316.jqm2,,,[],[],0.0,0.0,[],0.0,0.0,,"{'salt': 1.6, 'sodium': 0.64, 'sugars_value': 5.4, 'energy': 1335, 'energy_100g': 1335, 'energy-kcal': 319, 'sodium_100g': 0.64, 'energy-kcal_value': 319, 'salt_unit': '', 'sugars_100g': 5.4, 'sugars_unit': '', 'energy-kcal_100g': 319, 'fat_unit': '', 'salt_value': 1.6, 'energy-kcal_unit': 'kcal', 'sugars': 5.4, 'proteins_value': 2, 'carbohydrates_value': 7.7, 'fat_value': 30.4, 'energy_unit': 'kcal', 'salt_100g': 1.6, 'sodium_value': 0.64, 'fat': 30.4, 'proteins': 2, 'energy_value': 319, 'proteins_unit': '', 'carbohydrates_100g': 7.7, 'saturated-fat_unit': '', 'saturated-fat_value': 5, 'fat_100g': 30.4, 'proteins_100g': 2, 'carbohydrates': 7.7, 'saturated-fat': 5, 'sodium_unit': 'g', 'saturated-fat_100g': 5, 'carbohydrates_unit': ''}",1335.0,319.0,5.0,30.4,7.7,5.4,,2.0,0.64,1.6,,,,1.0,20150316
