N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_DERNIER CAM,N_CAM AN-1
KNORR + LEGUMES + LEGUME + BTE FER +  NON BIO,1,0.0,1,4775.0,5110.0
MQ FAB 1 PRX + BOLO CLASSIQUE + BOLOG VDE + POT +  NON BIO,1,0.0,1,3271.4000000000005,3284.4
ITALIANS DO IT BETTER + AUTRE GAMME + RAGU DE VIANDE + POT +  NON BIO,1,0.0,1,1543.7,0.0
AUT MQ + SCE CLAS + CURRY INDIENNE TIKKA MASALA + POT +  NON BIO,1,0.0,1,1092.1,0.0
AUT MQ + LEGUMES + AIL + POT +  NON BIO,1,0.0,1,877.1999999999997,692.4
MQ FAB 1 PRX + SCE CLAS + PESTO CALABRESE + POT +  NON BIO,1,0.0,1,526.7,1241.3000000000004
AUT MQ + SCE CLAS + HOMARD A LA CREME FRAICHE & AU + DOY PAC +  NON BIO,1,0.0,1,498.0,654.4
CASERTA + BOLO CLASSIQUE + BOLOGNAISE + POT +  NON BIO,1,0.0,1,488.50000000000006,430.4
AUT MQ + SCE CLAS + CURRY INDIENNE CURRY DOUX + POT +  NON BIO,1,0.0,1,388.5,0.0
AUT MQ + SCE CLAS + SAUCE SUPREME A LA TRUFFE DU P + POT +  NON BIO,1,0.0,1,217.40000000000003,214.90000000000003
AUT MQ + SCE CLAS + BRUSCHETTA OLIVES NOIRES + POT +  BIO,1,0.0,1,209.5,57.79999999999999
AUT MQ + AUTRE GAMME + PIQUANTE CALABRESE + POT +  NON BIO,1,0.0,1,154.8,149.2
VICTORIA + LEGUMES + NAPOLITAIN + POT +  NON BIO,1,0.0,1,128.79999999999998,721.5999999999997
AUT MQ + SCE CLAS + CEPE + POT +  NON BIO,1,0.0,1,100.0,0.0
AUT MQ + LEGUMES + SPAGHETTI + POT +  NON BIO,1,0.0,1,82.49999999999997,56.5
AUT MQ + LEGUMES + CURRY + POT +  NON BIO,1,0.0,1,61.3,68.0
LOUIS MARTIN + BOLO CLASSIQUE + ITALIEN + BTE FER +  NON BIO,1,0.0,1,55.69999999999999,35.4
AUT MQ + LEGUMES + SAUCE CARI + POT +  NON BIO,1,0.0,1,51.10000000000001,158.4
LOUIS MARTIN + LEGUMES + CHAMPIGNON + POT +  NON BIO,1,0.0,1,50.6,86.2
AUT MQ + AUTRE GAMME + ENCRE SEIC + POT +  NON BIO,2,0.0,2,46.6,53.300000000000004
PANZANI + LEGUMES + BASILIC CISELE + POT +  NON BIO,1,0.0,1,23.70000000000001,3430.200000000001
BUITONI + BOLO CLASSIQUE + ITALIEN + BTE FER +  NON BIO,2,0.0,2,23.6,8.0
DE CECCO + LEGUMES + VERDURE + POT +  NON BIO,1,0.0,1,19.200000000000006,13.2
AUT MQ + LEGUMES + PIMENT D'ESPELETTE + POT +  NON BIO,1,0.0,1,13.6,80.2
AUT MQ + LEGUMES + LANGUEDOC + POT +  NON BIO,1,0.0,1,11.6,25.4
AUT MQ + LEGUMES + BRASERO + POT +  NON BIO,1,0.0,1,10.200000000000003,3.0
AUT MQ + LEGUMES + GINGER TONIC + POT +  NON BIO,1,0.0,1,9.900000000000002,4.199999999999998
AUT MQ + LEGUMES + PROVENCALE + BTE FER +  NON BIO,1,0.0,1,9.2,48.4
