N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018
MDD | SAUCES_POUR_FECULENTS |  | POT | ,1,0.0,1,94370200.5,88010805.0
PANZANI | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,26,19.0,7,18522875.299999997,28628441.5
PANZANI | LEGUMES | PROVENCALE | POT | NON_BIO,17,10.0,7,11724186.200000001,11559762.7
BARILLA | PESTO | PESTO_VERD | POT | NON_BIO,4,3.0,1,11224787.3,10219195.700000001
PANZANI | LEGUMES | PT_LEGUME | TUB | NON_BIO,6,6.0,0,10511586.3,10266481.100000001
BARILLA | PESTO | PESTO_RGE | POT | NON_BIO,2,2.0,0,9527134.2,8487099.0
ZAPETTI_BUITONI | BOLO_CLASSIQUE | ITALIEN | BTE_FER | NON_BIO,11,7.0,4,9499660.5,9552474.8
PANZANI | BOLO_CLASSIQUE | BOLOGNAISE_PUR_BOEUF | POT | NON_BIO,8,6.0,2,9475195.800000004,403840.5
PANZANI | LEGUMES | TOMATES_BASILIC | POT | NON_BIO,9,4.0,5,7232904.1,6756760.1000000015
BARILLA | LEGUMES | BASILIC | POT | NON_BIO,9,7.0,2,7048064.199999999,7254506.899999999
PANZANI | LEGUMES | TOMATE_CUI | POT | NON_BIO,11,10.0,1,7004086.7,6997903.900000001
HEINZ | LEGUMES | AIL_OIGNON | BRIC | NON_BIO,8,3.0,5,6665490.0,5933250.7
PANZANI | BOLO_CLASSIQUE | BOLOGNAISE_EXTRA_RICHE | POT | NON_BIO,3,3.0,0,6067400.0,5851706.399999999
PANZANI | PESTO | PESTO_VERD | POT | NON_BIO,3,2.0,1,5599760.3,5144889.900000001
BARILLA | BOLO_CLASSIQUE | BOLOGNAISE | POT | NON_BIO,7,4.0,3,5042184.600000001,4724802.499999999
MDD | SAUCES_POUR_FECULENTS |  | BTE_FER | ,1,0.0,1,4286886.3,4358804.399999999
SACLA | LEGUMES | ARRABIATA | POT | NON_BIO,5,4.0,1,3994963.0,3655709.1999999997
BARILLA | LEGUMES | PROVENCALE | POT | NON_BIO,3,3.0,0,3506752.2,3079528.3000000003
BARILLA | LEGUMES | ARRABIATA | POT | NON_BIO,6,4.0,2,3438207.6,2984562.0
ZAPETTI_BUITONI | LEGUMES | H_OLIVE | BTE_FER | NON_BIO,3,3.0,0,3284996.1,3321019.5
BARILLA | PESTO | BASILIC_&_ROQUETTE | POT | NON_BIO,2,1.0,1,3197322.1,2571618.0
PANZANI | BOLO_BALLS | NATURE | POT | NON_BIO,3,2.0,1,2825670.1000000006,3214332.8
PANZANI | BIO | BOLOGNAISE_BIO | POT | BIO,1,1.0,0,2753536.5,1266781.3
PANZANI | LEGUMES | TOM_FRAICH | BTE_FER | NON_BIO,3,2.0,1,2695353.6999999997,2866884.8000000003
PANZANI | CREME | CARBONARA | POT | NON_BIO,1,1.0,0,2554196.4000000004,2339225.4
BARILLA | LEGUMES | TOMATE_CUI | POT | NON_BIO,2,2.0,0,2329606.9000000004,1557915.0
BARILLA | BOLO_CLASSIQUE | BOLOGNAISE_EXTRA_RICHE | POT | NON_BIO,1,1.0,0,2263628.4,2035007.3
JARDIN_BIO | BIO | BASILIC | POT | BIO,6,4.0,2,2147500.1,1757464.9
SACLA | LEGUMES | CAVIAR_TOM | POT | NON_BIO,2,2.0,0,2141149.3000000003,2420096.5
PANZANI | LEGUMES | OIGNONS_ET_AIL | TUB | NON_BIO,1,1.0,0,2118402.5,2161459.5
PANZANI | CREME | 4FROMAGES | POT | NON_BIO,1,1.0,0,2108593.2,2017788.1
MDD | SAUCES_POUR_FECULENTS |  | TUB | ,1,0.0,1,2102213.2,2184243.2
PANZANI | BOLO_ORIGINALE | BOLOG_CHAMP | POT | NON_BIO,3,2.0,1,2007624.7,1958028.4000000004
SACLA | PESTO | PESTO_VERD | POT | NON_BIO,5,5.0,0,1918134.9000000004,1940456.0
PANZANI | BOLO_ORIGINALE | BOLOG_EPIC | POT | NON_BIO,1,1.0,0,1904015.9,1706376.1
BARILLA | BIO | PESTO_VERD | POT | BIO,1,1.0,0,1884404.4,866341.7999999998
