,N_SAME_PRODUCT,N_COUNT,O_COUNT,MISSING_COUNT,N_Ventes_Valeur_2019,N_Ventes_Valeur_2018
0,MDD | SAUCES_POUR_FECULENTS |  | POT | ,1,0.0,1,94370200.5,88010805.0
1,MDD | SAUCES_POUR_FECULENTS |  | BTE_FER | ,1,0.0,1,4286886.3,4358804.399999999
2,MDD | SAUCES_POUR_FECULENTS |  | TUB | ,1,0.0,1,2102213.2,2184243.2
3,MDD_1_PRX | SAUCES_POUR_FECULENTS |  | POT | ,1,0.0,1,1688258.1,1750841.1
4,MDD | AUT_SCE |  | POT | ,1,0.0,1,1408037.2000000004,1310021.9
5,MDD | SAUCES_POUR_FECULENTS |  | BRIC | ,1,0.0,1,424991.0,320040.0
6,MDD | SAUCES_POUR_FECULENTS |  | FLA_PLAS | ,1,0.0,1,286847.6,116514.8
7,MDD | SAUCES_POUR_FECULENTS |  | DOY_PAC | ,1,0.0,1,241084.2,333957.10000000003
8,MDD | AUT_SCE |  | BRIC | ,1,0.0,1,139057.00000000006,0.0
9,MDD_1_PRX | SAUCES_POUR_FECULENTS |  | BTE_FER | ,1,0.0,1,126811.0,141644.7
10,MDD | AUT_SCE |  | DOY_PAC | ,1,0.0,1,68839.2,150078.19999999998
11,ITALIANS_DO_IT_BETTER | AUTRE_GAMME | RAGU_DE_VIANDE | POT | NON_BIO,1,0.0,1,38108.500000000015,0.0
12,KNORR | LEGUMES | LEGUME | BTE_FER | NON_BIO,1,0.0,1,13390.3,14355.7
13,AUT_MQ | LEGUMES | AIL | POT | NON_BIO,1,0.0,1,12851.2,10218.500000000002
14,AUT_MQ | SCE_CLAS | CURRY_INDIENNE_TIKKA_MASALA | POT | NON_BIO,1,0.0,1,6919.400000000002,0.0
