,N_EAN13,N_MARQUE,N_SAME_PRODUCT,N_GAMME,N_RECETTES,N_ORGANIC,N_FORMAT,N_WEIGHT_num,N_EMBALLAGE,N_COMPTE,N_STD/PROMO,N_DERNIER CAM,N_CAM AN-1,N_ITEM,N_NIELSEN_DESCRIPTION,N_INITIAL_INDEX,N_CATEGORY,N_COUNT,O_EAN13,O_categories,O_ingredients,O_nutriments,O_product_name,O_manufacturing_places,O_category_properties,O_ingredients_text,O_product_name_fr,O_interface_version_modified,O_ingredients_n,O_pnns_groups_1,O_pnns_groups_2,O_cities_tags,O_compared_to_category,O_countries_hierarchy,O_salt_content,O_oil_content,O_serving_quantity,O_serving_size,O_max_salt_content,O_min_salt_content,O_max_oil_content,O_min_oil_content,O_oil_type,O_energy_100g,O_energy_kcal_100g,O_saturated_fat_100g,O_fat_100g,O_carbohydrates_100g,O_sugars_100g,O_fruits_vegetables_nuts_estimate_from_ingredients_100g,O_proteins_100g,O_sodium_100g,O_salt_100g,O_nutrition_score_fr_100g,O_fiber_100g,O_nova_group_100g,O_COUNT
211,3021690017298,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN, NON BIO,FI,95,BTE FER,3CT,STD,571285.2000000001,592177.7,3021690017298,BTE FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE FI ITALIEN 3CT 95G * NON BIO,253,SAUCES POUR FECULENTS,1,3021690017298,"Epicerie, Produits à la viande, Sauces, Sauces tomate, Sauces à la viande, Sauces pour pâtes","['Purée de tomate mi-réduite', 'viande', 'carotte', 'oignon', 'sucre', 'huile de tournesol', 'sel', 'vin blanc', 'amidon de maïs', ""blanc d'_œuf_"", 'protéines de _lait_', 'épices', 'ail', 'porc', 'dont _céleri_']","{'fat': 4.3, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 78.7, 'salt_100g': 1.2, 'sodium_value': 0.48, 'energy_unit': 'kJ', 'carbon-footprint-from-known-ingredients_product': 9.06, 'carbohydrates_100g': 8.5, 'proteins_unit': 'g', 'energy_value': 306, 'proteins': 3.4, 'fiber_value': 1.6, 'fat_value': 4.3, 'proteins_value': 3.4, 'carbohydrates_value': 8.5, 'sugars': 6.1, 'salt_value': 1.2, 'nova-group_serving': 4, 'fat_unit': 'g', 'nutrition-score-fr_serving': -1, 'fruits-vegetables-nuts_label': '0', 'saturated-fat': 1.5, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 1.5, 'sodium_unit': 'g', 'fat_100g': 4.3, 'nutrition-score-fr_100g': -1, 'saturated-fat_value': 1.5, 'saturated-fat_unit': 'g', 'carbohydrates': 8.5, 'proteins_100g': 3.4, 'fruits-vegetables-nuts': 81, 'carbon-footprint-from-known-ingredients_100g': 3.1799999999999997, 'sodium_100g': 0.48, 'nutrition-score-fr': -1, 'sodium': 0.48, 'energy-kj_unit': 'kJ', 'energy-kj_value': 306, 'salt': 1.2, 'fruits-vegetables-nuts_serving': 81, 'fruits-vegetables-nuts_value': 81, 'energy_100g': 306, 'fiber': 1.6, 'fiber_unit': 'g', 'energy': 306, 'sugars_value': 6.1, 'sugars_unit': 'g', 'fruits-vegetables-nuts_unit': 'g', 'energy-kj': 306, 'nova-group_100g': 4, 'fruits-vegetables-nuts_100g': 81, 'energy-kj_100g': 306, 'sugars_100g': 6.1, 'salt_unit': 'g', 'fiber_100g': 1.6, 'nova-group': 4}",La sauce italienne à la viande rôtie (3 x 3021690017670),"Raynal et Roquelaure Provence - R&R (Filiale Cofigeo) - Chemin de Piolenc - 84850 Camaret-sur-Aigues,Vaucluse,Provence-Alpes-Côte d'Azur,France",{},"Purée de tomate mi-réduite à base de concentré 70,3 %, viande rôtie 14 % (bœuf français 9,3 %, porc), carotte 6,2 %, oignon 2,2 %, sucre, huile de tournesol, sel, vin blanc, amidon de maïs, blanc d’_œuf_, protéines de _lait_ , épices (dont _céleri_), ail.",La sauce italienne à la viande rôtie (3 x 3021690017670),20150316.jqm2,15.0,Fat and sauces,Dressings and sauces,['camaret-sur-aigues-vaucluse-france'],en:tomato-sauces,['en:france'],"[{'id': 'en:salt', 'text': 'sel', 'percent_min': 0.4142857142857131, 'vegetarian': 'yes', 'rank': 7, 'vegan': 'yes', 'percent_max': '2.2'}]","[{'text': 'huile de tournesol', 'id': 'en:sunflower-oil', 'percent_max': '2.2', 'vegan': 'yes', 'vegetarian': 'yes', 'rank': 6, 'percent_min': 0.6374999999999993, 'from_palm_oil': 'no'}]",,,2.2,0.4142857142857131,2.2,0.6374999999999993,huile de tournesol,306.0,,1.5,4.3,8.5,6.1,78.7,3.4,0.48,1.2,-1.0,1.6,4.0,1.0
212,3021690022971,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN, NON BIO,MF,385,BTE FER,1CT,STD,0.8,1.2000000000000002,3021690022971,BTE FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE MF ITALIEN 1CT 385G * NON BIO,254,SAUCES POUR FECULENTS,1,3021690022971,"Epicerie, Conserves, Produits à la viande, Sauces, Sauces à la viande, Sauces pour pâtes","['Purée de tomates mi-réduite', 'viande de bœuf', 'carotte', 'sucre', 'oignon', 'sel', 'vin blanc', ""blanc d'_œuf_"", 'amidon transformé de maïs', 'huile de tournesol', 'arôme', 'protéines de _lait_', 'épices', 'ail', 'dont _céleri_']","{'nutrition-score-fr_serving': 2, 'carbon-footprint-from-meat-or-fish_product': 2340, 'saturated-fat': 1.9, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 1.9, 'sodium_unit': 'g', 'nutrition-score-fr_100g': 2, 'fat_100g': 4.3, 'saturated-fat_unit': 'g', 'saturated-fat_value': 1.9, 'carbohydrates': 7.8, 'proteins_100g': 4.6, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 77.80000000000001, 'fat': 4.3, 'carbon-footprint-from-meat-or-fish_100g': 608.5999999999999, 'carbon-footprint-from-known-ingredients_product': 2350, 'energy_unit': 'kJ', 'salt_100g': 1.1, 'sodium_value': 0.44000000000000006, 'proteins_unit': 'g', 'carbohydrates_100g': 7.8, 'proteins': 4.6, 'energy_value': 383, 'fiber_value': 1.6, 'sugars': 5.4, 'fat_value': 4.3, 'proteins_value': 4.6, 'carbohydrates_value': 7.8, 'fat_unit': 'g', 'salt_value': 1.1, 'nova-group_serving': 4, 'sugars_unit': 'g', 'energy-kj': 383, 'nova-group_100g': 4, 'sugars_100g': 5.4, 'salt_unit': 'g', 'energy-kj_100g': 383, 'fiber_100g': 1.6, 'nova-group': 4, 'carbon-footprint-from-known-ingredients_100g': 609.1399999999999, 'sodium_100g': 0.44000000000000006, 'nutrition-score-fr': 2, 'energy-kj_value': 383, 'energy-kj_unit': 'kJ', 'sodium': 0.44000000000000006, 'salt': 1.1, 'energy_100g': 383, 'sugars_value': 5.4, 'energy': 383, 'fiber': 1.6, 'fiber_unit': 'g'}",Sauce Italienne Max de Bœuf,"Provence,France",{},"Purée de tomates mi-réduite à base de concentré 76%, viande de bœuf 17%, carotte, sucre, oignon 0,9%, sel, vin blanc, blanc d'_œuf_, amidon transformé de maïs, huile de tournesol, arôme, protéines de _lait_, épices (dont _céleri_), ail.",Sauce Italienne Max de Bœuf,20120622,15.0,Fat and sauces,Dressings and sauces,['camaret-sur-aigues-vaucluse-france'],en:pasta-sauces,['en:france'],"[{'percent_min': 0, 'rank': 6, 'percent_max': '0.9', 'vegan': 'yes', 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}]","[{'id': 'en:sunflower-oil', 'text': 'huile de tournesol', 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': 0.6499999999999979, 'rank': 10, 'percent_min': 0, 'from_palm_oil': 'no'}]",,,0.9,0.0,0.6499999999999979,0.0,huile de tournesol,383.0,,1.9,4.3,7.8,5.4,77.80000000000003,4.6,0.4400000000000001,1.1,2.0,1.6,4.0,1.0
213,3021690023701,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN,* not found,MF,0,BTE FER,2CT,PROMO,0.0,0.0,3021690023701,FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE MF ITALIEN 2CT 385G OFFRE ECO NON BIO,255,SAUCES POUR FECULENTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,3021690010176,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN,* not found,PF,0,BTE FER,12CT,PROMO,1869.5,78126.40000000001,3021690010176,BTE FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE PF ITALIEN 12CT 190G PK2 NON BIO,256,SAUCES POUR FECULENTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,3021690017694,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN, NON BIO,PF,190,BTE FER,1CT,STD,71.4,75.59999999999998,3021690017694,BTE FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE PF ITALIEN 1CT 190G * NON BIO,257,SAUCES POUR FECULENTS,1,3021690017694,"Epicerie, Produits à la viande, Sauces, Sauces à la viande, Sauces pour pâtes","['Purée de tomate mi-réduite', 'viande', 'carotte', 'oignon', 'sucre', 'huile de tournesol', 'sel', 'vin blanc', 'amidon de maïs', ""blanc d'_oeuf_"", 'protéines de _lait_', 'épices', 'ail', 'porc', 'dont _céleri_']","{'fiber_serving': 3.04, 'energy_serving': 581, 'sugars_unit': 'g', 'carbon-footprint-from-known-ingredients_serving': 6.04, 'energy-kj': 306, 'nova-group_100g': 4, 'saturated-fat_serving': 2.85, 'energy-kj_100g': 306, 'salt_unit': 'g', 'sugars_100g': 6.1, 'fat_serving': 8.17, 'fiber_100g': 1.6, 'nova-group': 4, 'carbon-footprint-from-known-ingredients_100g': 3.1799999999999997, 'sodium_100g': 0.48, 'nutrition-score-fr': 2, 'energy-kj_value': 306, 'sodium': 0.48, 'energy-kj_unit': 'kJ', 'proteins_serving': 6.46, 'salt': 1.2, 'energy_100g': 306, 'fiber': 1.6, 'fiber_unit': 'g', 'sugars_value': 6.1, 'energy': 306, 'nutrition-score-fr_serving': 2, 'saturated-fat': 1.5, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 1.5, 'sodium_unit': 'g', 'sugars_serving': 11.6, 'fat_100g': 4.3, 'nutrition-score-fr_100g': 2, 'saturated-fat_value': 1.5, 'energy-kj_serving': 581, 'saturated-fat_unit': 'g', 'carbohydrates': 8.5, 'proteins_100g': 3.4, 'fat': 4.3, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 78.7, 'sodium_value': 0.48, 'salt_100g': 1.2, 'carbon-footprint-from-known-ingredients_product': 6.04, 'carbohydrates_serving': 16.2, 'energy_unit': 'kJ', 'carbohydrates_100g': 8.5, 'salt_serving': 2.2800000000000002, 'proteins_unit': 'g', 'sodium_serving': 0.912, 'energy_value': 306, 'proteins': 3.4, 'fiber_value': 1.6, 'fat_value': 4.3, 'carbohydrates_value': 8.5, 'proteins_value': 3.4, 'sugars': 6.1, 'nova-group_serving': 4, 'salt_value': 1.2, 'fat_unit': 'g'}",La sauce italienne à la viande rôtie,France,{},"Purée de tomate mi-réduite à base de concentré 70.3%, viande rôtie 14% (boeuf français 9.3%, porc), carotte 6.2%, oignon 2.2%, sucre, huile de tournesol, sel, vin blanc, amidon de maïs, blanc d'_oeuf_, protéines de _lait_, épices (dont _céleri_), ail",La sauce italienne à la viande rôtie,20120622,15.0,Fat and sauces,Dressings and sauces,['camaret-sur-aigues-vaucluse-france'],en:pasta-sauces,['en:france'],"[{'percent_min': 0.4142857142857131, 'vegan': 'yes', 'percent_max': '2.2', 'rank': 7, 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}]","[{'id': 'en:sunflower-oil', 'text': 'huile de tournesol', 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': '2.2', 'percent_min': 0.6374999999999993, 'from_palm_oil': 'no', 'rank': 6}]",190.0,190g - 1 Boite,2.2,0.4142857142857131,2.2,0.6374999999999993,huile de tournesol,306.0,,1.5,4.3,8.5,6.1,78.7,3.4,0.48,1.2,2.0,1.6,4.0,1.0
216,3021690029536,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN,* not found,PF,0,BTE FER,24CT,PROMO,41804.60000000001,0.0,3021690029536,BTE FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE PF ITALIEN 24CT 190G DP8 NON BIO,258,SAUCES POUR FECULENTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,3021690017267,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN, NON BIO,PF,190,BTE FER,2CT,STD,938411.1,939450.8,3021690017267,BTE FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE PF ITALIEN 2CT 190G * NON BIO,259,SAUCES POUR FECULENTS,1,3021690017267,"Epicerie, Produits à la viande, Sauces, Sauces tomate, Sauces à la viande, Sauces pour pâtes","['Purée de tomate mi-réduite', 'viande', 'carotte', 'oignon', 'sucre', 'huile de tournesol', 'sel', 'vin blanc', 'amidon transformé de maïs', ""blanc d'_œuf_"", 'protéines de _lait_', 'épices', 'ail', 'porc', 'dont _céleri_']","{'nova-group_100g': 4, 'energy-kj_100g': 306, 'saturated-fat_serving': 1.43, 'sugars_100g': 6.1, 'salt_unit': 'g', 'fat_serving': 4.08, 'fiber_100g': 1.6, 'nova-group': 4, 'energy_serving': 291, 'fiber_serving': 1.52, 'sugars_unit': 'g', 'carbon-footprint-from-known-ingredients_serving': 3.02, 'energy-kj': 306, 'sodium': 0.48, 'proteins_serving': 3.23, 'energy-kj_unit': 'kJ', 'energy-kj_value': 306, 'salt': 1.2000000000000006, 'energy_100g': 306, 'fiber_unit': 'g', 'fiber': 1.6, 'sugars_value': 6.1, 'energy': 306, 'carbon-footprint-from-known-ingredients_100g': 3.1799999999999997, 'nutrition-score-fr': 2, 'sodium_100g': 0.48, 'fat_100g': 4.3, 'nutrition-score-fr_100g': 2, 'saturated-fat_value': 1.5, 'energy-kj_serving': 291, 'saturated-fat_unit': 'g', 'carbohydrates': 8.5, 'proteins_100g': 3.4, 'nutrition-score-fr_serving': 2, 'saturated-fat': 1.5, 'saturated-fat_100g': 1.5, 'carbohydrates_unit': 'g', 'sodium_unit': 'g', 'sugars_serving': 5.79, 'fiber_value': 1.6, 'proteins_value': 3.4, 'carbohydrates_value': 8.5, 'fat_value': 4.3, 'sugars': 6.1, 'nova-group_serving': 4, 'salt_value': 1.2, 'fat_unit': 'g', 'fat': 4.3, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 78.7, 'salt_100g': 1.2000000000000006, 'sodium_value': 0.48, 'energy_unit': 'kJ', 'carbon-footprint-from-known-ingredients_product': 6.04, 'carbohydrates_serving': 8.08, 'carbohydrates_100g': 8.5, 'sodium_serving': 0.456, 'proteins_unit': 'g', 'salt_serving': 1.1400000000000001, 'energy_value': 306, 'proteins': 3.4}",La sauce italienne à la viande rôtie,"Raynal et Roquelaure Provence - R&R (Filiale Cofigeo) - Chemin de Piolenc - 84850 Camaret-sur-Aigues,Vaucluse,Provence-Alpes-Côte d'Azur,France",{},"Purée de tomate mi-réduite à base de concentré 70,3 %, viande rôtie 14 % (bœuf Français 9,3 %, porc), carotte 6,2 %, oignon 2,2 %, sucre, huile de tournesol, sel,  vin blanc, amidon transformé de maïs, blanc d’_œuf_, protéines de _lait_, épices (dont _céleri_), ail.",La sauce italienne à la viande rôtie,20150316.jqm2,15.0,Fat and sauces,Dressings and sauces,['camaret-sur-aigues-vaucluse-france'],en:tomato-sauces,['en:france'],"[{'id': 'en:salt', 'text': 'sel', 'percent_min': 0.4142857142857131, 'vegetarian': 'yes', 'rank': 7, 'percent_max': '2.2', 'vegan': 'yes'}]","[{'text': 'huile de tournesol', 'id': 'en:sunflower-oil', 'vegan': 'yes', 'percent_max': '2.2', 'vegetarian': 'yes', 'percent_min': 0.6374999999999993, 'from_palm_oil': 'no', 'rank': 6}]",95.0,95 g,2.2,0.4142857142857131,2.2,0.6374999999999993,huile de tournesol,306.0,,1.5,4.3,8.5,6.1,78.7,3.4,0.48,1.2000000000000006,2.0,1.6,4.0,1.0
218,3021690025200,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN, NON BIO,PF,190,BTE FER,2CT,STD,7814.2,12548.0,3021690025200,BTE FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE PF ITALIEN 2CT 190G * NON BIO,260,SAUCES POUR FECULENTS,1,3021690025200,,"['Sauce tomate à la viande rôtie IngrédienE Purée de bmate mi-réduite à base de concentré', 'viande de bœuf', 'carotte', 'sucre', 'oignon', 'sel', 'vin blanc', ""blanc d'œuf"", 'amidon de maïs', 'huile de tournesol', 'arôme', 'protéines de lait', 'épices', 't céleri', 'ail', 'dot']","{'energy-kcal_100g': 92, 'fiber_value': 1.6, 'fat_unit': '', 'salt_value': 1.11, 'nova-group_serving': 4, 'sugars': 5.4, 'energy-kcal_unit': 'kcal', 'carbohydrates_value': 7.8, 'proteins_value': 4.6, 'fat_value': 4.3, 'carbon-footprint-from-meat-or-fish_100g': 608.5999999999999, 'energy_unit': 'kcal', 'salt_100g': 1.11, 'sodium_value': 0.44400000000000006, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 1.8, 'fat': 4.3, 'proteins': 4.6, 'energy_value': 92, 'proteins_unit': '', 'carbohydrates_100g': 7.8, 'saturated-fat_unit': '', 'saturated-fat_value': 1.9, 'fat_100g': 4.3, 'proteins_100g': 4.6, 'carbohydrates': 7.8, 'saturated-fat': 1.9, 'sodium_unit': 'g', 'saturated-fat_100g': 1.9, 'carbohydrates_unit': '', 'salt': 1.11, 'sodium': 0.44400000000000006, 'sugars_value': 5.4, 'energy': 385, 'fiber_unit': '', 'fiber': 1.6, 'energy_100g': 385, 'energy-kcal': 92, 'carbon-footprint-from-known-ingredients_100g': 609.1399999999999, 'energy-kcal_value': 92, 'sodium_100g': 0.44400000000000006, 'sugars_100g': 5.4, 'salt_unit': '', 'nova-group_100g': 4, 'nova-group': 4, 'fiber_100g': 1.6, 'sugars_unit': ''}",Zapetti sauce italienne max de boeuf,,{},"Sauce tomate à la viande rôtie IngrédienE Purée de bmate mi-réduite à base de concentré 76%, viande de bœuf 17%, carotte, sucre, oignon 0,9%, sel, vin blanc, blanc d'œuf, amidon de maïs, huile de tournesol, arôme, protéines de lait, épices (dot)t céleri), ail. Les informations en gras sont destinées aux personnes allergiques.",Zapetti sauce italienne max de boeuf,20150316.jqm2,16.0,unknown,unknown,,,['en:france'],"[{'id': 'en:salt', 'text': 'sel', 'percent_min': 0, 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': '0.9', 'rank': 6}]","[{'from_palm_oil': 'no', 'percent_min': 0, 'rank': 10, 'percent_max': 0.6499999999999979, 'vegan': 'yes', 'vegetarian': 'yes', 'text': 'huile de tournesol', 'id': 'en:sunflower-oil'}]",,,0.9,0.0,0.6499999999999979,0.0,huile de tournesol,385.0,92.0,1.9,4.3,7.8,5.4,1.8,4.6,0.4440000000000001,1.11,,1.6,4.0,1.0
219,3021690017571,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN,* not found,PF,0,BTE FER,3CT,PROMO,44.5,88.19999999999997,3021690017571,BTE FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE PF ITALIEN 3CT 190G PRIX NON BIO,261,SAUCES POUR FECULENTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,3021690021059,ZAPETTI BUITONI,"ZAPETTI BUITONI, BOLO CLASSIQUE, ITALIEN, BTE FER, ",BOLO CLASSIQUE,ITALIEN,* not found,PF,0,BTE FER,3CT,PROMO,169680.99999999994,144104.5,3021690021059,FER ZAPETTI ZAPETTI BUITONI BOLO CLASSIQUE PF ITALIEN 3CT 190G OFFRE ECO NON BIO,262,SAUCES POUR FECULENTS,1,3021690021059,"Epicerie, Produits à la viande, Sauces, Sauces à la viande, Sauces pour pâtes, Sauces bolognaises","['Purée de tomate mi-réduite', 'viande', 'carotte', 'oignon', 'sucre', 'huile de tournesol', 'sel', 'vin blanc', 'amidon de maïs', ""blanc d'_oeuf_"", 'protéines de _lait_', 'épices', 'ail', 'porc', 'dont _céleri_']","{'saturated-fat_100g': 1.5, 'carbohydrates_unit': 'g', 'sodium_unit': 'g', 'sugars_serving': 11.6, 'nutrition-score-fr_serving': 2, 'saturated-fat': 1.5, 'carbohydrates': 8.5, 'proteins_100g': 3.4, 'fat_100g': 4.3, 'nutrition-score-fr_100g': 2, 'energy-kj_serving': 581, 'saturated-fat_value': 1.5, 'saturated-fat_unit': 'g', 'carbohydrates_100g': 8.5, 'sodium_serving': 0.912, 'proteins_unit': 'g', 'salt_serving': 2.2800000000000002, 'energy_value': 306, 'proteins': 3.4, 'fat': 4.3, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 78.7, 'sodium_value': 0.48, 'salt_100g': 1.2, 'carbohydrates_serving': 16.2, 'energy_unit': 'kj', 'carbon-footprint-from-known-ingredients_product': 18.1, 'proteins_value': 3.4, 'carbohydrates_value': 8.5, 'fat_value': 4.3, 'sugars': 6.1, 'nova-group_serving': 4, 'salt_value': 1.2, 'fat_unit': 'g', 'fiber_value': 1.6, 'energy-kj': 306, 'energy_serving': 581, 'fiber_serving': 3.04, 'sugars_unit': 'g', 'carbon-footprint-from-known-ingredients_serving': 6.04, 'fiber_100g': 1.6, 'fat_serving': 8.17, 'nova-group': 4, 'nova-group_100g': 4, 'energy-kj_100g': 306, 'saturated-fat_serving': 2.85, 'salt_unit': 'g', 'sugars_100g': 6.1, 'sodium_100g': 0.48, 'nutrition-score-fr': 2, 'carbon-footprint-from-known-ingredients_100g': 3.1799999999999997, 'energy_100g': 306, 'fiber': 1.6, 'fiber_unit': 'g', 'sugars_value': 6.1, 'energy': 306, 'proteins_serving': 6.46, 'sodium': 0.48, 'energy-kj_value': 306, 'energy-kj_unit': 'kj', 'salt': 1.2}",La sauce italienne à la viande rôtie,France,"{'ciqual_food_name:fr': 'Sauce tomate à la viande ou Sauce bolognaise, préemballée', 'ciqual_food_name:en': 'Tomato sauce, with meat or Bolognese sauce, prepacked'}","Purée de tomate mi-réduite à base de concentré 70.3%, viande rôtie 14% (boeuf français 9.3%, porc), carotte 6.2%, oignon 2.2%, sucre, huile de tournesol, sel, vin blanc, amidon de maïs, blanc d'_oeuf_, protéines de _lait_, épices (dont _céleri_), ail.",La sauce italienne à la viande rôtie,20150316.jqm2,15.0,Fat and sauces,Dressings and sauces,['camaret-sur-aigues-vaucluse-france'],en:bolognese-sauces,['en:france'],"[{'id': 'en:salt', 'text': 'sel', 'percent_min': 0.4142857142857131, 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': '2.2', 'rank': 7}]","[{'rank': 6, 'from_palm_oil': 'no', 'percent_min': 0.6374999999999993, 'vegetarian': 'yes', 'percent_max': '2.2', 'vegan': 'yes', 'id': 'en:sunflower-oil', 'text': 'huile de tournesol'}]",190.0,190g,2.2,0.4142857142857131,2.2,0.6374999999999993,huile de tournesol,306.0,,1.5,4.3,8.5,6.1,78.7,3.4,0.48,1.2,2.0,1.6,4.0,1.0
