,N_EAN13,N_MARQUE,N_SAME_PRODUCT,N_GAMME,N_RECETTES,N_ORGANIC,N_FORMAT,N_WEIGHT_num,N_EMBALLAGE,N_COMPTE,N_STD/PROMO,N_DERNIER CAM,N_CAM AN-1,N_ITEM,N_NIELSEN_DESCRIPTION,N_INITIAL_INDEX,N_CATEGORY,N_COUNT,O_EAN13,O_categories,O_ingredients,O_nutriments,O_product_name,O_manufacturing_places,O_category_properties,O_ingredients_text,O_product_name_fr,O_interface_version_modified,O_ingredients_n,O_pnns_groups_1,O_pnns_groups_2,O_cities_tags,O_compared_to_category,O_countries_hierarchy,O_salt_content,O_oil_content,O_serving_quantity,O_serving_size,O_max_salt_content,O_min_salt_content,O_max_oil_content,O_min_oil_content,O_oil_type,O_energy_100g,O_energy_kcal_100g,O_saturated_fat_100g,O_fat_100g,O_carbohydrates_100g,O_sugars_100g,O_fruits_vegetables_nuts_estimate_from_ingredients_100g,O_proteins_100g,O_sodium_100g,O_salt_100g,O_nutrition_score_fr_100g,O_fiber_100g,O_nova_group_100g,O_COUNT
1172,3038354192307,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,GF,600,POT,1CT,STD,40.8,159.59999999999997,3038354192307,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES GF PROVENCALE 1CT 600G * NON BIO,1251,SAUCES POUR FECULENTS,1,3038354192307,,[],"{'sodium_100g': 0.48, 'energy-kcal_value': 59, 'salt': 1.2, 'sodium': 0.48, 'proteins_serving': 1.3, 'energy': 247, 'sugars_value': 3.6, 'energy-kcal': 59, 'energy_100g': 247, 'sugars_unit': 'g', 'energy_serving': 247, 'saturated-fat_serving': 0.3, 'salt_unit': 'g', 'sugars_100g': 3.6, 'fat_serving': 2.5, 'salt_100g': 1.2, 'sodium_value': 0.48, 'carbohydrates_serving': 7.1, 'energy_unit': 'kcal', 'fat': 2.5, 'energy-kcal_serving': 59, 'energy_value': 59, 'proteins': 1.3, 'carbohydrates_100g': 7.1, 'salt_serving': 1.2, 'sodium_serving': 0.48000000000000004, 'proteins_unit': 'g', 'energy-kcal_100g': 59, 'salt_value': 1.2, 'fat_unit': 'g', 'carbohydrates_value': 7.1, 'proteins_value': 1.3, 'fat_value': 2.5, 'energy-kcal_unit': 'kcal', 'sugars': 3.6, 'saturated-fat': 0.3, 'sodium_unit': 'g', 'sugars_serving': 3.6, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 0.3, 'saturated-fat_value': 0.3, 'saturated-fat_unit': 'g', 'fat_100g': 2.5, 'proteins_100g': 1.3, 'carbohydrates': 7.1}",Provençale aux tomates fraîches,,{},,Provençale aux tomates fraîches,20190830,,unknown,unknown,[],,['en:france'],[],[],100.0,100g,0.0,0.0,0.0,0.0,,247.0,59.0,0.3,2.5,7.1,3.6,,1.3,0.48,1.2,,,,1.0
1173,3038359005213,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,GF,600,POT,1CT,STD,1350929.7000000002,1258879.9,3038359005213,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES GF PROVENCALE 1CT 600G * NON BIO,1252,SAUCES POUR FECULENTS,1,3038359005213,"Epicerie, Sauces, Sauces tomate, Sauces provençales","['pulpe de tomates fraîches avec morceaux et purées de tomates fraîches', 'légumes frais', 'huile de tournesol', 'sucre', 'sel', 'persil', 'amidon modifié de maïs', 'herbes de provence', 'arômes', 'carottes', 'oignons']","{'saturated-fat_value': 0.3, 'nutrition-score-fr_100g': -1, 'sodium_unit': 'g', 'carbohydrates_unit': 'g', 'saturated-fat': 0.3, 'nutrition-score-fr_serving': -1, 'proteins_value': 1.3, 'carbohydrates_value': 6.9, 'sugars': 3.6, 'energy_value': 243, 'alcohol': 0, 'carbohydrates_100g': 6.9, 'salt_100g': 1.1, 'sodium_value': 0.44000000000000006, 'energy_unit': 'kJ', 'carbon-footprint-from-known-ingredients_product': 23.4, 'nova-group': 4, 'fiber_100g': 0, 'sugars_100g': 3.6, 'salt_unit': 'g', 'fruits-vegetables-nuts_100g': 94, 'energy-kj': 243, 'alcohol_value': 0, 'sugars_unit': 'g', 'fruits-vegetables-nuts_unit': 'g', 'energy-kcal': 58, 'energy_100g': 243, 'fruits-vegetables-nuts_serving': 94, 'energy-kj_unit': 'kJ', 'energy-kcal_value': 58, 'sodium_100g': 0.44000000000000006, 'proteins_100g': 1.3, 'fruits-vegetables-nuts': 94, 'carbohydrates': 6.9, 'saturated-fat_unit': 'g', 'fat_100g': 2.5, 'saturated-fat_100g': 0.3, 'fruits-vegetables-nuts_label': '0', 'salt_value': 1.1, 'nova-group_serving': 4, 'alcohol_unit': '% vol', 'fat_unit': 'g', 'fat_value': 2.5, 'energy-kcal_unit': 'kcal', 'energy-kcal_100g': 58, 'fiber_value': 0, 'proteins': 1.3, 'proteins_unit': 'g', 'fat': 2.5, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 9, 'energy-kj_100g': 243, 'nova-group_100g': 4, 'fiber_unit': 'g', 'fiber': 0, 'sugars_value': 3.6, 'energy': 243, 'fruits-vegetables-nuts_value': 94, 'salt': 1.1, 'energy-kj_value': 243, 'sodium': 0.44000000000000006, 'nutrition-score-fr': -1, 'carbon-footprint-from-known-ingredients_100g': 3.9, 'alcohol_100g': 0, 'alcohol_serving': 0}",Sauce Provençale : Tomates fraîches et herbes de Provence,,{},"pulpe de tomates fraîches avec morceaux et purées de tomates fraîches (84%), légumes frais (carottes 5%, oignons 4%), huile de tournesol, sucre, sel, persil, amidon modifié de maïs, herbes de provence 0.4%, arômes",Sauce Provençale : Tomates fraîches et herbes de Provence,20190830,11.0,Fat and sauces,Dressings and sauces,[],en:provencale-sauces,['en:france'],"[{'id': 'en:salt', 'text': 'sel', 'percent_min': '0.4', 'vegetarian': 'yes', 'percent_max': 2.199999999999998, 'rank': 5, 'vegan': 'yes'}]","[{'from_palm_oil': 'no', 'percent_min': 1, 'rank': 3, 'text': 'huile de tournesol', 'id': 'en:sunflower-oil', 'vegan': 'yes', 'percent_max': 7, 'vegetarian': 'yes'}]",,,2.199999999999998,0.4,7.0,1.0,huile de tournesol,243.0,58.0,0.3,2.5,6.9,3.6,9.0,1.3,0.4400000000000001,1.1,-1.0,0.0,4.0,1.0
1184,3038354220901,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,MF,400,POT,1CT,STD,275054.9,106.0,3038354220901,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 1CT 400G * NON BIO,1263,SAUCES POUR FECULENTS,1,3038354220901,"Epicerie, Sauces, Sauces tomate","['Pulpe de tomates fraîches avec morceaux et purées de tomates fraîches', 'légumes frais', 'huile de tournesol', 'sucre', 'sel', 'plantes aromatiques', 'amidon transformé de maïs', 'arômes', 'carottes', 'oignons']","{'proteins_100g': 1.3, 'carbohydrates': 7.1, 'energy-kj_serving': 247, 'saturated-fat_value': 0.3, 'saturated-fat_unit': 'g', 'fat_100g': 2.5, 'nutrition-score-fr_100g': 5, 'sodium_unit': 'g', 'sugars_serving': 3.6, 'saturated-fat_100g': 0.3, 'carbohydrates_unit': 'g', 'saturated-fat': 0.3, 'nutrition-score-fr_serving': 5, 'nova-group_serving': 4, 'salt_value': 1.18, 'fat_unit': 'g', 'carbohydrates_value': 7.1, 'fat_value': 2.5, 'proteins_value': 1.3, 'sugars': 3.6, 'energy_value': 247, 'proteins': 1.3, 'carbohydrates_100g': 7.1, 'salt_serving': 1.18, 'sodium_serving': 0.47200000000000003, 'proteins_unit': 'g', 'sodium_value': 0.472, 'salt_100g': 1.18, 'carbohydrates_serving': 7.1, 'energy_unit': 'kJ', 'carbon-footprint-from-known-ingredients_product': 10.8, 'fat': 2.5, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 9, 'nova-group': 4, 'fat_serving': 2.5, 'saturated-fat_serving': 0.3, 'energy-kj_100g': 247, 'sugars_100g': 3.6, 'salt_unit': 'g', 'nova-group_100g': 4, 'energy-kj': 247, 'sugars_unit': 'g', 'carbon-footprint-from-known-ingredients_serving': 2.7, 'energy_serving': 247, 'energy': 247, 'sugars_value': 3.6, 'energy_100g': 247, 'salt': 1.18, 'sodium': 0.472, 'proteins_serving': 1.3, 'energy-kj_unit': 'kJ', 'energy-kj_value': 247, 'nutrition-score-fr': 5, 'sodium_100g': 0.472, 'carbon-footprint-from-known-ingredients_100g': 2.6999999999999997}",Sauce provençale aux tomates fraîches,,{},"Pulpe de tomates fraîches avec morceaux et purées de tomates fraîches 85 %, légumes frais 9 % (carottes, oignons), huile de tournesol, sucre, sel, plantes aromatiques, amidon transformé de maïs, arômes.",Sauce provençale aux tomates fraîches,20150316.jqm2,10.0,Fat and sauces,Dressings and sauces,[],en:tomato-sauces,"['en:france', 'en:switzerland']","[{'percent_min': 0, 'vegetarian': 'yes', 'vegan': 'yes', 'rank': 5, 'percent_max': 2, 'id': 'en:salt', 'text': 'sel'}]","[{'rank': 3, 'percent_min': 1, 'from_palm_oil': 'no', 'id': 'en:sunflower-oil', 'text': 'huile de tournesol', 'vegetarian': 'yes', 'percent_max': 6, 'vegan': 'yes'}]",100.0,100 g,2.0,0.0,6.0,1.0,huile de tournesol,247.0,,0.3,2.5,7.1,3.6,9.0,1.3,0.47200000000000003,1.18,5.0,,4.0,1.0
1185,3038359002212,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,MF,400,POT,1CT,STD,0.0,0.0,3038359002212,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 1CT 400G * NON BIO,1264,SAUCES POUR FECULENTS,1,3038359002212,"Epicerie, Sauces, Sauces provençales","['Pulpe de tomates', 'concentré de tomates', 'eau', 'légumes', 'huile de tournesol', 'sucre', 'amidon transformé de maïs', 'sel', 'arômes', 'plantes aromatiques', 'oignons', 'carottes']","{'carbohydrates_100g': 8, 'proteins_unit': 'g', 'energy_value': 272, 'proteins': 1.6, 'fat': 2.6, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 96.5, 'sodium_value': 0.42400000000000004, 'salt_100g': 1.06, 'carbon-footprint-from-known-ingredients_product': 723, 'energy_unit': 'kJ', 'proteins_value': 1.6, 'fat_value': 2.6, 'carbohydrates_value': 8, 'sugars': 6.4, 'nova-group_serving': 4, 'salt_value': 1.06, 'fat_unit': 'g', 'fiber_value': 1.7, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 0.3, 'sodium_unit': 'g', 'nutrition-score-fr_serving': -1, 'saturated-fat': 0.3, 'carbohydrates': 8, 'proteins_100g': 1.6, 'fat_100g': 2.6, 'nutrition-score-fr_100g': -1, 'saturated-fat_value': 0.3, 'saturated-fat_unit': 'g', 'nutrition-score-fr': -1, 'sodium_100g': 0.42400000000000004, 'carbon-footprint-from-known-ingredients_100g': 180.64999999999998, 'energy_100g': 272, 'fiber': 1.7, 'fiber_unit': 'g', 'energy': 272, 'sugars_value': 6.4, 'energy-kj_value': 272, 'sodium': 0.42400000000000004, 'energy-kj_unit': 'kJ', 'salt': 1.06, 'energy-kj': 272, 'sugars_unit': 'g', 'fiber_100g': 1.7, 'nova-group': 4, 'nova-group_100g': 4, 'energy-kj_100g': 272, 'salt_unit': 'g', 'sugars_100g': 6.4}",Sauce veloutée provençale,,{},"Pulpe de tomates et concentré de tomates (41%), eau, légumes 14,5% (oignons, carottes), huile de tournesol, sucre, amidon transformé de maïs, sel, arômes, plantes aromatiques.",Sauce veloutée provençale,20120622,12.0,Fat and sauces,Dressings and sauces,[],en:provencale-sauces,['en:france'],"[{'rank': 8, 'vegan': 'yes', 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}]","[{'id': 'en:sunflower-oil', 'text': 'huile de tournesol', 'vegetarian': 'yes', 'vegan': 'yes', 'rank': 5, 'from_palm_oil': 'no'}]",,,0.0,0.0,0.0,0.0,,272.0,,0.3,2.6,8.0,6.4,96.5,1.6,0.424,1.06,-1.0,1.7,4.0,1.0
1186,3038354190907,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,MF,425,POT,1CT,STD,0.4,0.0,3038354190907,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 1CT 425G * NON BIO,1265,SAUCES POUR FECULENTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,3038359005220,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,MF,425,POT,1CT,STD,2302641.200000001,2227681.4,3038359005220,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 1CT 425G * NON BIO,1266,SAUCES POUR FECULENTS,1,3038359005220,"Epicerie, Sauces, Sauces tomate, Sauces pour pâtes, Sauces provençales","['Pulpe de tomates fraîches avec morceaux et purées de tomates fraîches', 'légumes frais', 'huile de tournesol', 'sucre', 'sel', 'amidon transformé de maïs', 'persil', 'herbes Provence', 'arômes naturels', ""extrait d'oignon"", 'carottes', 'oignons']","{'sodium_100g': 0.376, 'energy-kcal_value': 51, 'nutrition-score-fr': -2, 'fruits-vegetables-nuts-estimate_100g': 93, 'carbon-footprint-from-known-ingredients_100g': 3.9, 'fruits-vegetables-nuts-estimate': 93, 'sugars_value': 5.2, 'energy': 212, 'fiber': 2, 'fiber_unit': 'g', 'energy_100g': 212, 'energy-kcal': 51, 'salt': 0.94, 'energy-kj_unit': 'kJ', 'sodium': 0.376, 'energy-kj_value': 212, 'fruits-vegetables-nuts-estimate_value': 93, 'energy-kj': 212, 'sugars_unit': 'g', 'nova-group': 4, 'fiber_100g': 2, 'fruits-vegetables-nuts-estimate_label': '0', 'salt_unit': 'g', 'sugars_100g': 5.2, 'energy-kj_100g': 212, 'fruits-vegetables-nuts-estimate_serving': 93, 'nova-group_100g': 4, 'proteins': 1.2, 'fruits-vegetables-nuts-estimate_unit': 'g', 'energy_value': 212, 'proteins_unit': 'g', 'carbohydrates_100g': 6, 'carbon-footprint-from-known-ingredients_product': 16.6, 'energy_unit': 'kJ', 'salt_100g': 0.94, 'sodium_value': 0.376, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 9, 'fat': 2, 'fat_unit': 'g', 'salt_value': 0.94, 'nova-group_serving': 4, 'sugars': 5.2, 'energy-kcal_unit': 'kcal', 'proteins_value': 1.2, 'fat_value': 2, 'carbohydrates_value': 6, 'energy-kcal_100g': 51, 'fiber_value': 2, 'sodium_unit': 'g', 'saturated-fat_100g': 0.3, 'carbohydrates_unit': 'g', 'saturated-fat': 0.3, 'proteins_100g': 1.2, 'carbohydrates': 6, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.3, 'nutrition-score-fr_100g': -2, 'fat_100g': 2}",Sauce Provençale,,{},"Pulpe de tomates fraîches avec morceaux et purées de tomates fraîches (84%), légumes frais (carottes 5%, oignons 4%), huile de tournesol, sucre, sel, amidon transformé de maïs, persil, herbes Provence 0,4%, arômes naturels, extrait d'oignon.",Sauce Provençale,20190830,12.0,Fat and sauces,Dressings and sauces,[],en:provencale-sauces,"['en:european-union', 'en:france', 'en:switzerland']","[{'percent_min': '0.4', 'vegetarian': 'yes', 'percent_max': 2.199999999999998, 'vegan': 'yes', 'rank': 5, 'id': 'en:salt', 'text': 'sel'}]","[{'id': 'en:sunflower-oil', 'text': 'huile de tournesol', 'vegetarian': 'yes', 'percent_max': 7, 'vegan': 'yes', 'rank': 3, 'percent_min': 0.875, 'from_palm_oil': 'no'}]",,,2.199999999999998,0.4,7.0,0.875,huile de tournesol,212.0,51.0,0.3,2.0,6.0,5.2,9.0,1.2,0.376,0.94,-2.0,2.0,4.0,1.0
1188,3038354310909,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,MF,500,POT,1CT,STD,39809.4,31658.5,3038354310909,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 1CT 500G * NON BIO,1267,SAUCES POUR FECULENTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,3038354220987,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE,* not found,MF,0,POT,2CT,PROMO,0.0,1592.8000000000004,3038354220987,POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 2CT 400G OFFRE ECO NON BIO,1268,SAUCES POUR FECULENTS,1,3038354220987,,[],"{'energy-kcal_value': 59, 'sodium_100g': 0.472, 'salt': 1.18, 'sodium': 0.472, 'energy': 247, 'sugars_value': 3.6, 'fiber_unit': '', 'fiber': 0, 'energy-kcal': 59, 'energy_100g': 247, 'sugars_unit': '', 'sugars_100g': 3.6, 'salt_unit': '', 'fiber_100g': 0, 'energy_unit': 'kcal', 'salt_100g': 1.18, 'sodium_value': 0.472, 'proteins': 1.3, 'energy_value': 59, 'proteins_unit': '', 'energy-kcal_100g': 59, 'fiber_value': 0, 'salt_value': 1.18, 'sugars': 3.6, 'energy-kcal_unit': 'kcal', 'proteins_value': 1.3, 'saturated-fat': 0.3, 'sodium_unit': 'g', 'saturated-fat_100g': 0.3, 'saturated-fat_unit': '', 'saturated-fat_value': 0.3, 'proteins_100g': 1.3}",Sauce pleine saveur provencale,,{},,Sauce pleine saveur provencale,20150316.jqm2,,unknown,unknown,,,['en:france'],[],[],,,0.0,0.0,0.0,0.0,,247.0,59.0,0.3,,,3.6,,1.3,0.47200000000000003,1.18,,0.0,,1.0
1190,3038359005282,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,MF,425,POT,2CT,PROMO,179586.4,267136.0,3038359005282,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 2CT 425G * NON BIO,1269,SAUCES POUR FECULENTS,1,3038359005282,"Epicerie, Sauces, Sauces provençales",[],"{'salt': 1.1, 'sodium': 0.44000000000000006, 'sugars_value': 3.6, 'energy': 243, 'energy_100g': 243, 'energy-kcal': 58, 'energy-kcal_value': 58, 'nutrition-score-fr': 4, 'sodium_100g': 0.44000000000000006, 'sugars_100g': 3.6, 'salt_unit': 'g', 'sugars_unit': 'g', 'energy-kcal_100g': 58, 'salt_value': 1.1, 'fat_unit': 'g', 'fat_value': 2.5, 'proteins_value': 1.3, 'carbohydrates_value': 6.9, 'sugars': 3.6, 'energy-kcal_unit': 'kcal', 'salt_100g': 1.1, 'sodium_value': 0.44000000000000006, 'energy_unit': 'kcal', 'fat': 2.5, 'energy_value': 58, 'proteins': 1.3, 'carbohydrates_100g': 6.9, 'proteins_unit': 'g', 'saturated-fat_value': 0.3, 'saturated-fat_unit': 'g', 'fat_100g': 2.5, 'nutrition-score-fr_100g': 4, 'proteins_100g': 1.3, 'carbohydrates': 6.9, 'saturated-fat': 0.3, 'nutrition-score-fr_serving': 4, 'sodium_unit': 'g', 'carbohydrates_unit': 'g', 'saturated-fat_100g': 0.3}",Sauce provençale,,{},,Sauce provençale,20120622,,Fat and sauces,Dressings and sauces,[],en:provencale-sauces,['en:france'],[],[],,,0.0,0.0,0.0,0.0,,243.0,58.0,0.3,2.5,6.9,3.6,,1.3,0.4400000000000001,1.1,4.0,,,1.0
1191,3038354220956,PANZANI,"PANZANI, LEGUMES, PROVENCALE, POT, ",LEGUMES,PROVENCALE, NON BIO,MF,400,POT,2CT,STD,0.0,1.6,3038354220956,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 2CT 400G * NON BIO,1270,SAUCES POUR FECULENTS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
