,0
0,3760052155536
1,8854404005213
2,8858135071028
3,3760052155512
4,3416952625159
5,3416360008261
6,3302762103218
7,3302762203246
8,3302762203208
9,3302762103133
10,3302762213382
11,3302762203222
12,9325763000083
13,3760052155505
14,3760070015331
15,3302767151122
16,3302767151139
17,3760070014556
18,3760070014549
19,3760070015324
20,3302767151290
21,3302767151283
22,3760070014525
23,3302767151108
24,3272640001786
25,3760070014518
26,5021047104778
27,5021047104525
28,8710605030457
29,6194049100792
30,3100080000536
31,5602102238876
32,3760153840126
33,0000040788975
34,5608771012045
35,5391517696486
36,0000040788982
37,5011308301794
38,3229820799087
39,5011308502467
40,3229820799056
41,3229820799094
42,3229820799032
43,3229820799049
44,3229820799018
45,5011308519748
46,4104420183889
47,4104420212794
48,5608771013042
49,5391517696479
50,5024448755204
51,5015821155025
52,8014388282080
53,5391517696493
54,4104420213203
55,4019041006311
56,3229820799070
57,8007548000860
58,3264963012716
59,0000040198798
60,8606018020065
61,8606018020027
62,8606018020041
63,8690804407369
64,8606018020089
65,3467740026337
66,3467740026351
67,3467740026344
68,3183811010288
69,3183811010561
70,3760077534200
71,5420058007267
72,5420058007243
73,5425031096221
74,3065620500078
75,8715035310308
76,3325815008506
77,3325815008483
78,3760014295041
79,9556041130981
80,3269710290454
81,8059070741773
82,8032551445551
83,3017239004003
84,3302768100167
85,3269710288574
86,3065620500030
87,8853662040516
88,3065620500009
89,3264963016752
90,3386020000075
91,8710605027969
92,3700656403213
93,5014276512018
94,3264963016578
95,3372463000048
96,3337730002569
97,3700656403220
98,8852646212277
99,8000219000145
100,8032505411014
101,8059070741308
102,3302768000405
103,8007548008316
104,8015559076668
105,3302768000412
106,3302768000436
107,3183811010219
108,8006165401944
109,9002859058417
110,8003979000318
111,5021047104433
112,9556041612005
113,3760084452238
114,8032817244485
115,3302768000429
116,3760091669179
117,8000133000108
118,8007548005810
119,8715035270305
120,9310432330028
121,8715035290303
122,8853662040233
123,3302768100112
124,8032551445520
125,3183811010189
126,8076809513357
127,3760077537058
128,3760077537034
129,3760077537041
130,3760077535580
131,3760077535542
132,3760077537089
133,3760253400473
134,3760253401180
135,3456300008500
136,3456300010688
137,3456300008517
138,3272970190082
139,8001060034624
140,4002359007217
141,5010034006164
142,5010034006188
143,5010034006140
144,4002359011207
145,5010338015404
146,4104420174597
147,8411916305462
148,8410066127238
149,8410066141869
150,8410066118090
151,8410066119226
152,8410066118168
153,8410066136681
154,8410066141838
155,8410066130092
156,8410066117291
157,8410066000265
158,8410066112715
159,8410066118700
160,8410066122653
161,3038359004186
162,3021690020298
163,3021690024715
164,3021690024722
165,3021690019278
166,3021690023787
167,3021690024678
168,3021690024685
169,8000050014585
170,3416953200027
171,3760059788102
172,3394560213121
173,3162900070020
174,8424523030122
175,3466090080044
176,3023081010529
177,3033710087433
178,3023081050037
179,3023081050525
180,8004913000302
181,8001440124457
182,8001440124464
183,3011360084668
184,3142952714219
185,3142952505213
186,3142952714110
187,3142952551111
188,3069533201008
189,3038352870825
190,3038359001482
191,3038352872300
192,3038352870900
193,3038356990901
194,3038352870924
195,3038359005206
196,3038353130607
197,3021690017557
198,3021690029550
199,3021690029345
200,3021690029703
201,3021690027228
202,3021690029338
203,3021690029055
204,3021690029048
205,3021690017298
206,3021690022971
207,3021690023701
208,3021690010176
209,3021690017694
210,3021690029536
211,3021690017267
212,3021690025200
213,3021690017571
214,3021690021059
215,3021690017281
216,3021690017304
217,3021690022001
218,3021690023008
219,3021690017700
220,3021690017274
221,3021690026566
222,3021690026818
223,3021690026801
224,3021690029543
225,3021690024371
226,3021690021981
227,3021690023657
228,3021690026979
229,3021690028089
230,3021690028614
231,3038359009204
232,3038359009211
233,3302762203215
234,3021690018899
235,3760128837175
236,5000354166419
237,8076809542012
238,8410066113163
239,3456300008333
240,3038352870207
241,8001060032095
242,8001060032088
243,8001060032071
244,8001060032064
245,3770003725121
246,3021690028102
247,8003395003054
248,5000111018005
249,3038359003813
250,3038359001611
251,3038359001604
252,8005360004509
253,3272970350073
254,8003395011608
255,5000183505458
256,8003395003108
257,8005978092523
258,8002960150247
259,8032615711417
260,8013945930150
261,8005360003717
262,3662902000037
263,8032817244539
264,3264963012709
265,3559503000040
266,8005360001102
267,0000080856528
268,0000080798149
269,5060314300000
270,5060314300147
271,8005695020311
272,8053908202498
273,3392070010407
274,3337730904078
275,3291960002068
276,3337730909097
277,8009752001411
278,8005360004639
279,4104420213357
280,8009752001145
281,4104420130005
282,8015197051430
283,3267460050564
284,4104420213470
285,4104420213395
286,3347431163117
287,4104420213593
288,4104420129603
289,4104420213517
290,4104420213555
291,8006165408400
292,8006165408387
293,3566144400023
294,4104420213432
295,3545360020635
296,8032817245109
297,4104420031081
298,3337730904122
299,8015312776118
300,3760014295164
301,3760273430085
302,3700656403428
303,8022079000905
304,8021115290317
305,3760019700809
306,3760273430382
307,3760273430115
308,3760014295171
309,8021115290287
310,3760273430443
311,3271514160048
312,3760014295157
313,3337730903538
314,3760273430092
315,3299430063670
316,3760020501426
317,8022079000202
318,8021115290270
319,3450120012198
320,3760019716541
321,3337730909042
322,3760014295027
323,3760273430429
324,8021115290294
325,8021115290324
326,3760014295003
327,8015312774107
328,3700656403411
329,3700656403206
330,3760273430436
331,3700656403237
332,3700656403190
333,3299160000471
334,3760014295010
335,3760273430078
336,3299160000495
337,0000080761334
338,3338310220137
339,3760273430061
340,8030776000074
341,3338310220120
342,3338310220113
343,3337730909059
344,3299430063571
345,3176800031302
346,8021115290300
347,3760273430108
348,3269710112763
349,3269710112787
350,3271514167023
351,3271514160055
352,8410095000809
353,3760059788003
354,4008164001655
355,8003395011059
356,8005360002277
357,8014388281045
358,8032551443472
359,3760113311321
360,3272970350066
361,3700952000918
362,5412723022019
363,5413171917049
364,3142952737218
365,3439495007336
366,3700141400246
367,3263450119396
368,5412465666335
369,3263450141908
370,3263850661068
371,3700483801473
372,8003979000899
373,8059070741575
374,3760014294594
375,3144550005195
376,3276621204142
377,3424150010110
378,8005360000662
379,8006165371230
380,3183811010141
381,8002960020847
382,3565300000541
383,3183810006541
384,8013945930136
385,8028480009391
386,3760077534309
387,8011780042359
388,3572170385036
389,8001010086741
390,3760014294938
391,8005360001089
392,0000080729266
393,8001770063815
394,3439495007350
395,4008164001662
396,8016874030250
397,3700952000925
398,5420058008431
399,8002960150346
400,8032551445544
401,0000080729297
402,0000080280828
403,8001770062368
404,8059070741599
405,8001770061118
406,8032551445537
407,3337730001494
408,3144550005126
409,3512680000258
410,3447860000042
411,5413171192590
412,8001770063037
413,3268387011188
414,8005360002215
415,3268387011133
416,3760077532732
417,8410095501450
418,8029342000228
419,8001770063235
420,3272640001557
421,3272640001670
422,3524670030619
423,3700068142564
424,8411026031008
425,8005121210101
426,8001770063624
427,3760075091231
428,8001770063136
429,8410095500668
430,5000354155024
431,8032584372459
432,8005360001935
433,8014388282073
434,3272970350059
435,3700368540312
436,8001770063044
437,8032793341949
438,8003395003023
439,8032584372497
440,3268387011171
441,8016874030243
442,8014388560010
443,8005360000099
444,8003395010250
445,3760060564290
446,8032551443410
447,8005360000075
448,3760275810588
449,8001770063150
450,8032793341956
451,3592860012134
452,3450120008061
453,8033100271430
454,3271514120714
455,8032793342014
456,3760075096052
457,8006165373272
458,3760060564450
459,8005360002284
460,8850781700253
461,8003395013169
462,3760075096069
463,8003395007410
464,3760075096076
465,8005360003458
466,3760048330350
467,8005360000112
468,8001770063259
469,8005360001874
470,8032551443434
471,3272970350028
472,3439495007329
473,3439495007343
474,3263450130650
475,3564040028471
476,3447860000066
477,3760019716107
478,3760060564160
479,3277510001514
480,3519622510004
481,3592860012127
482,8014388281069
483,3760060564252
484,8032793341963
485,8001770063631
486,3450120007903
487,8014388560058
488,3760030140356
489,3443543739001
490,3347431164114
491,5413171273619
492,5400189570205
493,8032584372466
494,8003395003092
495,3760075096083
496,8005360001942
497,3142952737010
498,8032817240319
499,3443543735003
500,8410268001114
501,3482970009134
502,3760048334051
503,3069538102737
504,8032817246045
505,8032817246052
506,8015197051423
507,3700463718074
508,0838948001663
509,3065620500085
510,8001770062238
511,8003979000479
512,8032615271010
513,8059070741568
514,3760014294570
515,3770002165607
516,8006165371209
517,8001770062207
518,8005360000839
519,0838948001687
520,8001770062214
521,3183811010097
522,3572170385012
523,8002960150148
524,8032615711448
525,8028000134596
526,8053908202474
527,8013945930006
528,0000080729235
529,8001010086994
530,3760014294907
531,3760077534316
532,8011780042304
533,3183811010233
534,8001770062405
535,8013945930075
536,3760014294921
537,3183811010165
538,8003979000325
539,3574314240300
540,3466090036102
541,3770002165249
542,3592860010000
543,3424150010097
544,8006165371193
545,3183811010110
546,3572170385029
547,3565300000558
548,3394561206146
549,8032615711431
550,3375644007836
551,3271514130706
552,8028000134534
553,8053908202481
554,3183810006558
555,8013945930020
556,8001010086727
557,8031183005331
558,3760014294914
559,8002960100334
560,3760077534323
561,3662902000211
562,8002960020540
563,3234750028039
564,8005100009344
565,8005100008835
566,8005100009269
567,8005978005677
568,8007504222206
569,8032615271027
570,8005978092707
571,3760014294563
572,3144550005188
573,8001770061132
574,3335880028224
575,3424150010103
576,8011780042328
577,8003979000295
578,8059070741551
579,8005360001065
580,3572170385005
581,8028000134572
582,8013945930112
583,8031183005119
584,3065620500092
585,3017239003990
586,3183811010172
587,3183811010127
588,3450120012129
589,3335880028231
590,8001770061088
591,8001770061071
592,3272970180021
593,8053908202504
594,3466090036218
595,3144550005201
596,8005360001171
597,8006165350808
598,8013945930242
599,8002960505078
600,8005978004854
601,3574314240294
602,8032505411366
603,3386750000185
604,3760041100011
605,3281230000818
606,3331220002558
607,3760084451446
608,8429874215013
609,8011780042342
610,8007504222305
611,3760014294600
612,3424150010660
613,8001770062443
614,0838948001700
615,3271514130805
616,8053908202467
617,8009452225216
618,3017239004010
619,3017239003969
620,8001770061187
621,8053908202450
622,8007504222251
623,3337730904467
624,3375644007812
625,3760041100028
626,8429874215037
627,3519622520003
628,3271511000316
629,3183810006596
630,3271514190021
631,3101150040230
632,3565300000527
633,3337730002552
634,3264963012723
635,8003979000301
636,0838948001717
637,3466090080068
638,3271514130829
639,8031183000527
640,0000080729242
641,3700140103902
642,3276621205149
643,3424150010080
644,3660159224589
645,3760075091521
646,8003979003708
647,8006165350815
648,8009452225209
649,8013945930037
