,CATEGORY,MKT_SEGMENT,KPI,EAN13_num,MARQUE,RECETTES,ORGANIC,WEIGHT_num,EMBALLAGE,GAMME,FORMAT,COMPTE,STD/PROMO,ITEM,CAM AN-1,DERNIER CAM,4 S 28/01/18,4 S 25/02/18,4 S 25/03/18,4 S 22/04/18,4 S 20/05/18,4 S 17/06/18,4 S 15/07/18,4 S 12/08/18,4 S 09/09/18,4 S 07/10/18,4 S 04/11/18,4 S 02/12/18,4 S 30/12/18,4 S 27/01/19,4 S 24/02/19,4 S 24/03/19,4 S 21/04/19,4 S 19/05/19,4 S 16/06/19,4 S 14/07/19,4 S 11/08/19,4 S 08/09/19,4 S 06/10/19,4 S 03/11/19,4 S 01/12/19,4 S 29/12/19,EAN13,WEIGHT,NIELSEN_DESCRIPTION,INITIAL_INDEX
231,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3038359009204,PANZANI,PEST BASIL PARM,0,120,COUPELLE,PESTO,PF,1CT,STD,3038359009204,0.0,6366.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,288.7,1097.9,1211.8,1131.1,762.3,661.4,576.6,595.4,3038359009204.0,120.0,COUPELLE PANZANI SA PANZANI PESTO PF PEST BASIL PARM 1CT 120G * NON BIO,281
232,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3038359009211,PANZANI,PESTO TOM SECHE,0,120,COUPELLE,PESTO,PF,1CT,STD,3038359009211,0.0,1086.8000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,68.5,138.5,169.1,158.2,132.2,131.8,128.4,139.2,3038359009211.0,120.0,COUPELLE PANZANI SA PANZANI PESTO PF PESTO TOM SECHE 1CT 120G * NON BIO,282
234,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3021690018899,ZAPETTI BUITONI,PESTO VERD,0,40,DOSE,PESTO,FI,3CT,STD,3021690018899,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3021690018899.0,40.0,FECULENTS DOSE ZAPETTI ZAPETTI BUITONI PESTO FI PESTO VERD 3CT 40G * NON BIO,287
237,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8076809542012,BARILLA,PESTO VERD,0,500,DOY PAC,PESTO,MF,1CT,STD,8076809542012,7.0,11.5,1.5,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,1.0,0.5,0.0,1.5,0.5,0.0,0.0,0.5,0.5,1.0,2.5,1.5,0.5,2.0,1.0,8076809542012.0,500.0,SAUCES POUR FECULENTS DOY PAC BARILLA PESTO MF PESTO VERD 1CT 500G * NON BIO,293
240,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3038352870207,PANZANI,PESTO VERD,0,1000,DOY PAC,PESTO,TGF,1CT,STD,3038352870207,113.0,82.0,9.0,10.0,5.0,8.0,5.0,5.0,14.0,22.0,17.0,6.0,6.0,0.0,6.0,2.0,8.0,6.0,3.0,8.0,7.0,9.0,16.0,12.0,4.0,4.0,0.0,3.0,3038352870207.0,1000.0,FECULENTS DOY PAC PANZANI SA PANZANI PESTO TGF PESTO VERD 1CT 1000G * NON BIO,300
250,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3038359001611,PANZANI,PESTO RGE,0,265,FLA PLAS,PESTO,PF,1CT,STD,3038359001611,1.6,0.0,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3038359001611.0,265.0,POUR FECULENTS FLA PLAS PANZANI SA PANZANI PESTO PF PESTO RGE 1CT 265G * NON BIO,317
251,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3038359001604,PANZANI,PESTO VERD,0,265,FLA PLAS,PESTO,PF,1CT,STD,3038359001604,11821.9,75.39999999999998,3962.8,2973.0,2036.3,1203.1,693.0,445.5,235.1,106.8,59.1,37.1,21.7,23.8,24.6,17.5,12.5,9.8,4.8,4.8,3.4,3.2,3.2,3.2,3.2,3.4,3.2,3.2,3038359001604.0,265.0,FECULENTS FLA PLAS PANZANI SA PANZANI PESTO PF PESTO VERD 1CT 265G * NON BIO,318
680,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3760153840140,AUT MQ,PESTO MENTHE,0,80,POT,PESTO,FI,1CT,STD,3760153840140,89.80000000000004,27.9,8.8,7.9,8.2,8.5,9.4,7.8,8.8,7.1,5.8,4.7,4.5,5.4,2.9,2.7,2.4,3.1,2.7,1.8,3.3,3.2,2.6,1.3,1.8,1.0,1.0,1.0,3760153840140.0,80.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO FI PESTO MENTHE 1CT 80G * NON BIO,749
681,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,8003979000424,AUT MQ,PESTO VERD,0,80,POT,PESTO,FI,1CT,STD,8003979000424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8003979000424.0,80.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO FI PESTO VERD 1CT 80G * NON BIO,750
682,SAUCES POUR FECULENTS,HMSM + PROXI + DRIVE + SDMP,Ventes Volume  ,3144550005157,AUT MQ,PESTO VERD,0,90,POT,PESTO,FI,1CT,STD,3144550005157,996.1999999999997,868.9,58.9,61.9,62.6,71.3,77.3,78.9,87.6,106.8,89.7,72.5,61.6,60.1,107.0,59.1,56.9,58.8,64.1,70.9,75.0,85.8,97.8,76.5,53.8,48.3,48.2,73.7,3144550005157.0,90.0,SAUCES POUR FECULENTS POT AUT FAB AUT MQ PESTO FI PESTO VERD 1CT 90G * NON BIO,751
