,EAN13,ingredients_n,compared_to_category,pnns_groups_1,ingredients_text,countries_hierarchy,ingredients,serving_size,category_properties,product_name_fr,brands,manufacturing_places,product_name,categories,nutriments,serving_quantity,cities_tags,pnns_groups_2,interface_version_modified,salt_content,oil_content
0,0000050157846,10.0,en:sauces,Fat and sauces,"Vinaigre d'alcool, eau, huile de pépins de raisin 22%, sucre, farine de maïs, _moutarde_, jaune d’_œuf_ pasteurisé 3%, sel, colorant : riboflavine.",['en:france'],"[""Vinaigre d'alcool"", 'eau', 'huile de pépins de raisin', 'sucre', 'farine de maïs', '_moutarde_', ""jaune d'_œuf_ pasteurisé"", 'sel', 'colorant', 'riboflavine']",15 g,{},Heinz Squeeze Sauce Salade Cream,Heinz,,Heinz Squeeze Sauce Salade Cream,"Epicerie, Sauces","{'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'sugars_100g': 17, 'sugars': 17, 'fat_unit': '', 'saturated-fat_value': 1.8, 'carbon-footprint-from-known-ingredients_product': 276, 'sugars_serving': 2.55, 'sugars_unit': '', 'saturated-fat_unit': '', 'saturated-fat_100g': 1.8, 'salt_serving': 0.255, 'carbohydrates_value': 18.5, 'fat_serving': 3.57, 'nova-group_serving': 4, 'carbohydrates_unit': '', 'energy_unit': 'kcal', 'salt_100g': 1.7, 'carbon-footprint-from-known-ingredients_serving': 9.75, 'carbohydrates_serving': 2.77, 'nova-group_100g': 4, 'fat_value': 23.8, 'sodium_100g': 0.6799999999999999, 'sugars_value': 17, 'proteins_100g': 1.3, 'saturated-fat': 1.8, 'energy-kcal_unit': 'kcal', 'sodium': 0.6799999999999999, 'nutrition-score-fr_100g': 14, 'energy-kcal': 293, 'energy-kcal_100g': 293, 'fat_100g': 23.8, 'energy': 1226, 'energy_serving': 184, 'salt_unit': '', 'proteins_unit': '', 'proteins_value': 1.3, 'energy_100g': 1226, 'proteins': 1.3, 'nutrition-score-fr': 14, 'sodium_unit': 'g', 'sodium_serving': 0.10200000000000001, 'energy-kcal_value': 293, 'carbohydrates_100g': 18.5, 'salt': 1.7, 'carbon-footprint-from-known-ingredients_100g': 65, 'salt_value': 1.7, 'energy-kcal_serving': 44, 'nutrition-score-fr_serving': 14, 'saturated-fat_serving': 0.27, 'nova-group': 4, 'sodium_value': 0.6799999999999999, 'fat': 23.8, 'carbohydrates': 18.5, 'proteins_serving': 0.195, 'energy_value': 293}",15,[],Dressings and sauces,20150316.jqm2,"[{'id': 'en:salt', 'vegetarian': 'yes', 'rank': 8, 'text': 'sel', 'vegan': 'yes', 'percent_min': 0, 'percent_max': '3'}]",[]
1,0000087157635,7.0,en:ketchup,Fat and sauces,"Tomates (148 g pour 100 g de Tomato Ketchup), vinaigre, sucre, sel, extraits d'épices et d'herbes (contiennent du _céleri_), épice.",['en:france'],"['Tomates', 'vinaigre', 'sucre', 'sel', ""extraits d'épices et d'herbes"", 'épice', 'contiennent du _céleri_']",,"{'ciqual_food_name:fr': 'Ketchup', 'ciqual_food_name:en': 'Ketchup'}",Tomato Ketchup,Heinz,,Tomato Ketchup,"Epicerie, Sauces, Sauces tomate, Ketchup","{'sugars_unit': 'g', 'saturated-fat_unit': 'g', 'saturated-fat_100g': 0.1, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'sugars_100g': 22.8, 'sugars': 22.8, 'fat_unit': 'g', 'saturated-fat_value': 0.1, 'nova-group_100g': 3, 'fat_value': 0.1, 'sodium_100g': 0.72, 'sugars_value': 22.8, 'proteins_100g': 1.2, 'saturated-fat': 0.1, 'sodium': 0.72, 'energy-kcal_unit': 'kcal', 'energy-kcal': 102, 'nutrition-score-fr_100g': 13, 'energy-kcal_100g': 102, 'fat_100g': 0.1, 'carbohydrates_value': 23.2, 'nova-group_serving': 3, 'carbohydrates_unit': 'g', 'energy_unit': 'kcal', 'salt_100g': 1.7999999999999998, 'nutrition-score-fr': 13, 'sodium_unit': 'g', 'energy': 427, 'salt_unit': 'g', 'saturated-fat_modifier': '<', 'proteins_unit': 'g', 'proteins_value': 1.2, 'proteins': 1.2, 'energy_100g': 427, 'nova-group': 3, 'sodium_value': 0.72, 'fat': 0.1, 'carbohydrates': 23.2, 'energy_value': 102, 'carbohydrates_100g': 23.2, 'energy-kcal_value': 102, 'salt': 1.7999999999999998, 'salt_value': 1.8, 'nutrition-score-fr_serving': 13}",,[],Dressings and sauces,20120622,"[{'id': 'en:salt', 'rank': 4, 'text': 'sel', 'vegetarian': 'yes', 'vegan': 'yes'}]",[]
2,0016229905248,10.0,en:pimented-sauces,Fat and sauces,"Sucre 40%, eau, piment 22 %, sel, ail, amidon modifié de maïs, correcteur d'acidite (E260), épaississant (E415).",['en:france'],"['Sucre', 'eau', 'piment', 'sel', 'ail', 'amidon modifié de maïs', ""correcteur d'acidite"", 'épaississant', 'e260', 'e415']",,{},Sauce Sucrée Pimentée Pour Poulet,Aroy-D,,Sauce Sucrée Pimentée Pour Poulet,"Epicerie, Sauces, Sauces pimentées","{'sodium_unit': 'g', 'nutrition-score-fr': 23, 'proteins': 0.8, 'energy_100g': 1151, 'proteins_unit': 'g', 'proteins_value': 0.8, 'salt_unit': 'g', 'energy': 1151, 'energy_value': 275, 'fat': 0, 'carbohydrates': 68, 'sodium_value': 1.8, 'nova-group': 4, 'nutrition-score-fr_serving': 23, 'salt_value': 4.5, 'carbon-footprint-from-known-ingredients_100g': 126.8, 'salt': 4.5, 'energy-kcal_value': 275, 'carbohydrates_100g': 68, 'saturated-fat_100g': 0, 'saturated-fat_unit': 'g', 'sugars_unit': 'g', 'carbon-footprint-from-known-ingredients_product': 349, 'saturated-fat_value': 0, 'fat_unit': 'g', 'sugars': 59, 'sugars_100g': 59, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 22, 'fat_100g': 0, 'energy-kcal_100g': 275, 'energy-kcal': 275, 'nutrition-score-fr_100g': 23, 'energy-kcal_unit': 'kcal', 'sodium': 1.8, 'saturated-fat': 0, 'sugars_value': 59, 'proteins_100g': 0.8, 'sodium_100g': 1.8, 'nova-group_100g': 4, 'fat_value': 0, 'salt_100g': 4.5, 'energy_unit': 'kcal', 'carbohydrates_unit': 'g', 'nova-group_serving': 4, 'carbohydrates_value': 68}",,[],Dressings and sauces,20150316.jqm2,"[{'id': 'en:salt', 'vegetarian': 'yes', 'rank': 4, 'text': 'sel', 'vegan': 'yes', 'percent_max': 16, 'percent_min': 0}]",[]
3,0016229912512,8.0,en:pimented-sauces,Fat and sauces,"PIMENT 56 0%, AIL, SUCRE, VINAIGRE DISTILLE, SEL, CONSERVATEUR (E202 STABILISANT(E415).",['en:france'],"['PIMENT 56', 'AIL', 'SUCRE', 'VINAIGRE DISTILLE', 'SEL', 'CONSERVATEUR', 'e202 STABILISANT', 'e415']",,{},Sriracha chilli sauce,FOCO,,Sriracha chilli sauce,"Epicerie, Sauces, Sauces pimentées","{'proteins': 2.4, 'energy_100g': 347, 'proteins_value': 2.4, 'proteins_unit': 'g', 'salt_unit': 'g', 'energy': 347, 'sodium_unit': 'g', 'fiber': 1.6, 'nutrition-score-fr': 13, 'nutrition-score-fr_serving': 13, 'salt_value': 4, 'salt': 4, 'carbohydrates_100g': 14, 'energy-kcal_value': 83, 'fiber_100g': 1.6, 'energy_value': 83, 'carbohydrates': 14, 'fat': 1.6, 'sodium_value': 1.6, 'nova-group': 4, 'fiber_value': 1.6, 'saturated-fat_value': 0.3, 'fat_unit': 'g', 'sugars': 14, 'sugars_100g': 14, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'saturated-fat_100g': 0.3, 'saturated-fat_unit': 'g', 'sugars_unit': 'g', 'salt_100g': 4, 'energy_unit': 'kcal', 'carbohydrates_unit': 'g', 'nova-group_serving': 4, 'carbohydrates_value': 14, 'energy-kcal_100g': 83, 'fat_100g': 1.6, 'energy-kcal': 83, 'nutrition-score-fr_100g': 13, 'energy-kcal_unit': 'kcal', 'sodium': 1.6, 'saturated-fat': 0.3, 'proteins_100g': 2.4, 'sugars_value': 14, 'fiber_unit': 'g', 'sodium_100g': 1.6, 'fat_value': 1.6, 'nova-group_100g': 4}",,[],Dressings and sauces,20150316.jqm2,"[{'id': 'en:salt', 'rank': 5, 'vegetarian': 'yes', 'text': 'SEL', 'vegan': 'yes'}]",[]
4,0041500970035,5.0,en:ketchup,Fat and sauces,"Purée de tomate (50 %), vinaigre distillé, sucre, sel, arôme naturel.",['en:france'],"['Purée de tomate', 'vinaigre distillé', 'sucre', 'sel', 'arôme naturel']",,"{'ciqual_food_name:fr': 'Ketchup', 'ciqual_food_name:en': 'Ketchup'}",Tomato Ketchup,French's,,Tomato Ketchup,"Epicerie, Sauces, Sauces tomate, Ketchup","{'sodium_unit': 'g', 'nutrition-score-fr_serving': 15, 'energy_value': 528, 'saturated-fat': 0.1, 'sodium_value': 1, 'salt': 2.5, 'energy-kj': 528, 'salt_unit': 'g', 'fruits-vegetables-nuts-estimate': 50, 'fruits-vegetables-nuts-estimate_value': 50, 'nutrition-score-fr': 15, 'energy': 528, 'saturated-fat_modifier': '<', 'saturated-fat_unit': 'g', 'fruits-vegetables-nuts-estimate_label': '0', 'proteins_value': 1.5, 'nova-group_serving': 4, 'sodium': 1, 'proteins_unit': 'g', 'sugars_unit': 'g', 'sugars_value': 24, 'sugars': 24, 'fruits-vegetables-nuts-estimate_serving': 50, 'salt_100g': 2.5, 'carbohydrates_unit': 'g', 'carbon-footprint-from-known-ingredients_product': 619, 'fruits-vegetables-nuts-estimate_unit': 'g', 'fat_100g': 0.2, 'carbon-footprint-from-known-ingredients_100g': 145, 'nutrition-score-fr_100g': 15, 'nova-group_100g': 4, 'energy-kj_100g': 528, 'fat': 0.2, 'carbohydrates': 29.6, 'proteins': 1.5, 'proteins_100g': 1.5, 'saturated-fat_100g': 0.1, 'nova-group': 4, 'sugars_100g': 24, 'salt_value': 2.5, 'sodium_100g': 1, 'fat_value': 0.2, 'carbohydrates_100g': 29.6, 'energy_unit': 'kJ', 'carbohydrates_value': 29.6, 'saturated-fat_value': 0.1, 'energy-kj_unit': 'kJ', 'fruits-vegetables-nuts-estimate_100g': 50, 'energy_100g': 528, 'fat_unit': 'g', 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 50, 'energy-kj_value': 528}",,[],Dressings and sauces,20120622,"[{'rank': 4, 'id': 'en:salt', 'percent_min': 0, 'text': 'sel', 'percent_max': 18.75, 'vegan': 'yes', 'vegetarian': 'yes'}]",[]
5,0074880057386,31.0,en:curry-sauces,Fat and sauces,"Huiles comestibles (huile de palme, huile de canola), farine de _blé_, sucre, poudre de curry, légumes en poudre (pomme de terre, chou, chou chinois), glutamate monosodique (exhausteur de goût), dextrine, caramel, épices poudre de worcestershire (dextrine, vinaigre, sel, protéines végétales hydrolysées, sucre, extrait de levure, légumes et fruits (tomate, oignon, pomme), protéines végétales hydrolysées (soja), acide malique, guanylate disodique, inosinate disodique.",['en:france'],"['Huiles comestibles', 'farine de _blé_', 'sucre', 'poudre de curry', 'légumes en poudre', 'glutamate monosodique', 'dextrine', 'caramel', 'épices poudre de worcestershire', 'dextrine', 'vinaigre', 'sel', 'protéines végétales hydrolysées', 'sucre', 'extrait de levure', 'légumes', 'fruits', 'protéines végétales hydrolysées', 'acide malique', 'guanylate disodique', 'inosinate disodique', 'huile de palme', 'huile de canola', 'pomme de terre', 'chou', 'chou chinois', 'exhausteur de goût', 'tomate', 'oignon', 'pomme', 'soja']",20 g,"{'ciqual_food_name:en': 'Curry sauce, prepacked', 'ciqual_food_name:fr': 'Sauce au curry, préemballée'}",Tasty Curry Sauce Mix,S&B,,Tasty Curry Sauce Mix,"Epicerie, Sauces, Sauces au curry","{'energy_100g': 251, 'energy-kcal': 60, 'energy': 251, 'sugars_value': 3, 'fiber': 1, 'fiber_unit': 'g', 'sodium': 3.6399999999999997, 'proteins_serving': 0.2, 'salt': 9.099999999999998, 'energy-kcal_value': 60, 'sodium_100g': 3.6399999999999997, 'nutrition-score-fr': 12, 'fiber_100g': 1, 'fat_serving': 1.2, 'nova-group': 4, 'nova-group_100g': 4, 'sugars_100g': 3, 'salt_unit': 'g', 'saturated-fat_serving': 0.8, 'fiber_serving': 0.2, 'energy_serving': 50.2, 'sugars_unit': 'g', 'energy-kcal_unit': 'kcal', 'sugars': 3, 'fat_value': 6, 'proteins_value': 1, 'carbohydrates_value': 9, 'fat_unit': 'g', 'salt_value': 9.1, 'nova-group_serving': 4, 'fiber_value': 1, 'energy-kcal_100g': 60, 'salt_serving': 1.8199999999999998, 'proteins_unit': 'g', 'sodium_serving': 0.728, 'carbohydrates_100g': 9, 'proteins': 1, 'energy_value': 60, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fat': 6, 'energy-kcal_serving': 12, 'energy_unit': 'kcal', 'carbohydrates_serving': 1.8, 'sodium_value': 3.6399999999999997, 'salt_100g': 9.099999999999998, 'carbohydrates': 9, 'proteins_100g': 1, 'nutrition-score-fr_100g': 12, 'fat_100g': 6, 'saturated-fat_unit': 'g', 'saturated-fat_value': 4, 'saturated-fat_100g': 4, 'carbohydrates_unit': 'g', 'sodium_unit': 'g', 'sugars_serving': 0.6, 'nutrition-score-fr_serving': 12, 'saturated-fat': 4}",20,[],Dressings and sauces,20150316.jqm2,"[{'text': 'sel', 'id': 'en:salt', 'percent_min': 0, 'vegan': 'yes', 'percent_max': 8.333333333333334, 'rank': 12, 'vegetarian': 'yes'}]",[]
6,0078895121896,21.0,en:sauces,Fat and sauces,"sucre blanc, eau, sauce de soja (eau, sel, soja, _blé_), Ail (11%), concentré de tomate (10%), piments salés, miel, extrait de levure, sel, amidon de maïs modifié, acide (E270), stabilisant (E415), (contient du _blé_, du _soja_), réhausseur de saveur (E631, E627), contient du _soja_, _blé_","['en:france', 'en:united-states']","['sucre blanc', 'eau', 'sauce de soja', 'Ail', 'concentré de tomate', 'piments', 'miel', 'extrait de levure', 'sel', 'amidon de maïs modifié', 'acide', 'stabilisant', 'réhausseur de saveur', 'eau', 'sel', 'soja', '_blé_', 'e270', 'e415', 'e631', 'e627']",70 g,{},Sauce for tomato garlic prawns,Lee Kum Kee,Chine,Sauce for tomato garlic prawns,"Epicerie, Sauces","{'energy-kcal_100g': 152, 'proteins_value': 3.2, 'carbohydrates_value': 34, 'fat_value': 0.5, 'energy-kcal_unit': 'kcal', 'sugars': 28, 'nova-group_serving': 4, 'salt_value': 0, 'fat_unit': '', 'energy-kcal_serving': 106, 'fat': 0.5, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 21, 'sodium_value': 0, 'salt_100g': 0, 'energy_unit': 'kcal', 'carbohydrates_serving': 23.8, 'carbon-footprint-from-known-ingredients_product': 22.6, 'carbohydrates_100g': 34, 'sodium_serving': 0, 'salt_serving': 0, 'proteins_unit': '', 'energy_value': 152, 'proteins': 3.2, 'fat_100g': 0.5, 'nutrition-score-fr_100g': 6, 'saturated-fat_value': 0.1, 'saturated-fat_unit': '', 'carbohydrates': 34, 'proteins_100g': 3.2, 'nutrition-score-fr_serving': 6, 'saturated-fat': 0.1, 'saturated-fat_100g': 0.1, 'carbohydrates_unit': '', 'sodium_unit': 'g', 'sugars_serving': 19.6, 'sodium': 0, 'proteins_serving': 2.24, 'salt': 0, 'energy-kcal': 152, 'energy_100g': 636, 'energy': 636, 'sugars_value': 28, 'carbon-footprint-from-known-ingredients_100g': 32.3, 'energy-kcal_value': 152, 'nutrition-score-fr': 6, 'sodium_100g': 0, 'nova-group_100g': 4, 'saturated-fat_serving': 0.07, 'salt_unit': '', 'sugars_100g': 28, 'fat_serving': 0.35, 'nova-group': 4, 'energy_serving': 445, 'sugars_unit': '', 'carbon-footprint-from-known-ingredients_serving': 22.6}",70,[],Dressings and sauces,20150316.jqm2,"[{'text': 'sel', 'id': 'en:salt', 'percent_min': 0, 'percent_max': 8.142857142857142, 'rank': 9, 'vegan': 'yes', 'vegetarian': 'yes'}, {'id': 'en:salt', 'text': 'sel', 'vegetarian': 'yes', 'percent_max': 13.166666666666666, 'vegan': 'yes', 'percent_min': 0}]",[]
7,0084909023049,8.0,en:sauces,Fat and sauces,"Sucre, eau, piment rouge 16%, ail, sel, amidon de maïs modifié, acidifiant : E260.","['en:belgium', 'en:france', 'en:germany']","['Sucre', 'eau', 'piment rouge', 'ail', 'sel', 'amidon de maïs modifié', 'acidifiant', 'e260']",30 ml,{},Sweet chilli sauce for chicken,Cock Brand,,Sweet chilli sauce for chicken,"Epicerie, Sauces","{'saturated-fat_100g': 0, 'iron_serving': 0, 'carbohydrates': 43.3, 'proteins_100g': 0, 'vitamin-c_100g': 0, 'fat_100g': 0, 'cholesterol_serving': 0, 'calcium_value': 0, 'saturated-fat_unit': 'g', 'calcium_100g': 0, 'sodium_serving': 0.3, 'proteins_unit': 'g', 'salt_serving': 0.75, 'proteins': 0, 'fat': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 16, 'vitamin-c_value': 0, 'carbohydrates_serving': 13, 'fat_value': 0, 'cholesterol_value': 0, 'energy-kcal_unit': 'kcal', 'nova-group_serving': 3, 'salt_value': 2.5, 'fat_unit': 'g', 'fiber_value': 0, 'energy-kcal_100g': 55, 'iron_100g': 0, 'calcium_unit': '% DV', 'fiber_serving': 0, 'carbon-footprint-from-known-ingredients_serving': 16.3, 'vitamin-a': 0, 'nova-group_100g': 3, 'saturated-fat_serving': 0, 'vitamin-a_unit': '% DV', 'calcium_serving': 0, 'trans-fat_unit': 'g', 'nutrition-score-fr': 18, 'carbon-footprint-from-known-ingredients_100g': 54.4, 'iron': 0, 'fiber_unit': 'g', 'fiber': 0, 'sugars_value': 40, 'energy': 230, 'sodium': 1, 'trans-fat_value': 0, 'salt': 2.5, 'carbohydrates_unit': 'g', 'sodium_unit': 'g', 'sugars_serving': 12, 'nutrition-score-fr_serving': 18, 'vitamin-c_serving': 0, 'saturated-fat': 0, 'nutrition-score-fr_100g': 18, 'saturated-fat_value': 0, 'calcium': 0, 'carbohydrates_100g': 43.3, 'energy_value': 55, 'energy-kcal_serving': 16.5, 'vitamin-a_value': 0, 'sodium_value': 1, 'salt_100g': 2.5, 'energy_unit': 'kcal', 'carbon-footprint-from-known-ingredients_product': 354, 'proteins_value': 0, 'carbohydrates_value': 43.3, 'sugars': 40, 'trans-fat_100g': 0, 'cholesterol_unit': 'mg', 'iron_value': 0, 'iron_unit': '% DV', 'energy_serving': 69, 'sugars_unit': 'g', 'vitamin-a_serving': 0, 'trans-fat': 0, 'fiber_100g': 0, 'fat_serving': 0, 'nova-group': 3, 'cholesterol_100g': 0, 'vitamin-c_unit': '% DV', 'vitamin-a_100g': 0, 'salt_unit': 'g', 'sugars_100g': 40, 'trans-fat_serving': 0, 'energy-kcal_value': 55, 'cholesterol': 0, 'sodium_100g': 1, 'energy-kcal': 55, 'energy_100g': 230, 'proteins_serving': 0, 'vitamin-c': 0}",30,[],Dressings and sauces,20150316.jqm2,"[{'vegetarian': 'yes', 'rank': 5, 'percent_max': '16', 'vegan': 'yes', 'percent_min': 0, 'id': 'en:salt', 'text': 'sel'}]",[]
8,0084909023858,12.0,en:sauces,Fat and sauces,"Eau, sucre, navet, carotte, sauce de _poisson_ (_anchois_ 42%, eau), correcteur d’acidité (E260), sel, exhausteur de goût (E621).",['en:france'],"['Eau', 'sucre', 'navet', 'carotte', 'sauce de _poisson_', ""correcteur d'acidité"", 'sel', 'exhausteur de goût', '_anchois_', 'eau', 'e260', 'e621']",,{},Sauce Pour Rouleaux De Printemps,Cock Brand,Thaïlande,Sauce Pour Rouleaux De Printemps,"Epicerie, Sauces","{'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'nova-group_100g': 4, 'carbon-footprint-from-known-ingredients_product': 1500, 'carbon-footprint-from-known-ingredients_100g': 483, 'nova-group_serving': 4, 'nova-group': 4}",,[],Dressings and sauces,20150316.jqm2,"[{'text': 'sel', 'id': 'en:salt', 'vegan': 'yes', 'rank': 7, 'vegetarian': 'yes'}]",[]
9,0084909023872,8.0,en:pimented-sauces,Fat and sauces,"Piment 40 %, sucre, eau, vinaigre, al, sel, stabilisant (E415).",['en:france'],"['Piment', 'sucre', 'eau', 'vinaigre', 'al', 'sel', 'stabilisant', 'e415']",,{},Sriracha - Sauce aux Piments,Cock Brand,Thaïlande,Sriracha - Sauce aux Piments,"Epicerie, Sauces, Sauces pimentées","{'sugars_unit': 'g', 'fruits-vegetables-nuts-estimate_value': 40, 'energy-kj': 590, 'salt_unit': 'g', 'sugars_100g': 28, 'energy-kj_100g': 590, 'fruits-vegetables-nuts-estimate_serving': 40, 'nova-group_100g': 4, 'nova-group': 4, 'fiber_100g': 2.5, 'fruits-vegetables-nuts-estimate_label': '0', 'carbon-footprint-from-known-ingredients_100g': 136, 'fruits-vegetables-nuts-estimate': 40, 'nutrition-score-fr': 15, 'sodium_100g': 3.04, 'fruits-vegetables-nuts-estimate_100g': 40, 'salt': 7.600000000000003, 'energy-kj_value': 590, 'sodium': 3.04, 'energy-kj_unit': 'kJ', 'sugars_value': 28, 'energy': 590, 'fiber_unit': 'g', 'fiber': 2.5, 'energy_100g': 590, 'saturated-fat': 0, 'nutrition-score-fr_serving': 15, 'sodium_unit': 'g', 'carbohydrates_unit': 'g', 'saturated-fat_100g': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'nutrition-score-fr_100g': 15, 'fat_100g': 0.7, 'proteins_100g': 1, 'carbohydrates': 31, 'carbon-footprint-from-known-ingredients_product': 313, 'energy_unit': 'kJ', 'sodium_value': 3.04, 'salt_100g': 7.600000000000003, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 40, 'fat': 0.7, 'proteins': 1, 'fruits-vegetables-nuts-estimate_unit': '', 'energy_value': 590, 'proteins_unit': 'g', 'carbohydrates_100g': 31, 'fiber_value': 2.5, 'fat_unit': 'g', 'nova-group_serving': 4, 'salt_value': 7.6, 'sugars': 28, 'fat_value': 0.7, 'carbohydrates_value': 31, 'proteins_value': 1}",,[],Dressings and sauces,20120622,"[{'rank': 6, 'percent_max': 12.5, 'vegan': 'yes', 'vegetarian': 'yes', 'percent_min': 0, 'text': 'sel', 'id': 'en:salt'}]",[]
