,EAN13,product_name_fr,product_name,brands,brands_tags_str,brands_tags,serving_size,serving_quantity,countries_hierarchy,cities_tags,manufacturing_places,purchase_places,countries_tags,categories,category_properties,pnns_groups_1,pnns_groups_2,compared_to_category,interface_version_modified,ingredients_n,ingredients_text,ingredients,salt_content,max_salt_content,min_salt_content,oil_content,max_oil_content,min_oil_content,oil_type,nutriments,energy_100g,energy_kcal_100g,saturated_fat_100g,fat_100g,carbohydrates_100g,sugars_100g,fruits_vegetables_nuts_estimate_from_ingredients_100g,proteins_100g,sodium_100g,salt_100g,nutrition_score_fr_100g,fiber_100g,nova_group_100g
0,3017239003969,Sauce aux Olives Provençale,Sauce aux Olives Provençale,Tramier,['tramier'],['tramier'],,,['en:france'],[],France,"France,Nantes",['en:france'],"Epicerie, Sauces, Sauces aux légumes, Sauces aux olives, Sauces provençales",{},Fat and sauces,Dressings and sauces,en:provencale-sauces,20150316.jqm2,11,"Tomate (51%), olive noire (36%), huile d'olive, câpre (câpre, eau, sel)vinaigre d'alcool, épices (0,9%), sucre, sel.","['Tomate', 'olive noire', ""huile d'olive"", 'câpre', ""vinaigre d'alcool"", 'épices', 'sucre', 'sel', 'câpre', 'eau', 'sel']","[{'percent_min': 0, 'rank': 8, 'vegan': 'yes', 'percent_max': '0.9', 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}, {'text': 'sel', 'id': 'en:salt', 'vegan': 'yes', 'percent_max': 2.1666666666666656, 'vegetarian': 'yes', 'percent_min': 0}]",0.9,0,"[{'id': 'en:olive-oil', 'text': ""huile d'olive"", 'vegetarian': 'yes', 'percent_max': 13, 'vegan': 'yes', 'rank': 3, 'percent_min': 2.1666666666666665, 'from_palm_oil': 'no'}]",13,2.1666666666666665,huile d'olive,"{'energy-kcal_100g': 122, 'carbohydrates_value': 3.1, 'fat_value': 11, 'proteins_value': 1.3, 'sugars': 2.7, 'energy-kcal_unit': 'kcal', 'salt_value': 2.1, 'nova-group_serving': 3, 'fat_unit': '', 'fat': 11, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 53.166666666666664, 'salt_100g': 2.1, 'sodium_value': 0.8400000000000001, 'energy_unit': 'kcal', 'carbon-footprint-from-known-ingredients_product': 168, 'carbohydrates_100g': 3.1, 'proteins_unit': '', 'energy_value': 122, 'proteins': 1.3, 'fat_100g': 11, 'nutrition-score-fr_100g': 10, 'saturated-fat_value': 1.4, 'saturated-fat_unit': '', 'carbohydrates': 3.1, 'proteins_100g': 1.3, 'nutrition-score-fr_serving': 10, 'saturated-fat': 1.4, 'saturated-fat_100g': 1.4, 'carbohydrates_unit': '', 'sodium_unit': 'g', 'sodium': 0.8400000000000001, 'salt': 2.1, 'energy-kcal': 122, 'energy_100g': 510, 'sugars_value': 2.7, 'energy': 510, 'carbon-footprint-from-known-ingredients_100g': 88.67999999999999, 'sodium_100g': 0.8400000000000001, 'energy-kcal_value': 122, 'nutrition-score-fr': 10, 'nova-group_100g': 3, 'sugars_100g': 2.7, 'salt_unit': '', 'nova-group': 3, 'sugars_unit': ''}",510.0,122.0,1.4,11.0,3.1,2.7,53.166666666666664,1.3,0.8400000000000001,2.1,10.0,,3.0
1,3017239003976,Sauce aux olives façon pesto vert,Sauce aux olives façon pesto vert,Tramier,['tramier'],['tramier'],,,['en:france'],[],,,['en:france'],"Epicerie, Sauces, Sauces aux légumes, Sauces aux olives",{},Fat and sauces,Dressings and sauces,en:vegetable-sauces,20120622,27,"olive verte égouttée (33%), huile de tournesol, basilic (14%), eau, pomme de terre, vinaigre d'alcool, sucre, Fromages italiens (1.8%) (Grana Padano AOP (_lait_, sel, présure, conservateur : lysozyme (_oeuf_)) et Parmigiano reggiano AOP (_lait_ de vache, sel, présure)), huile d'olive, épaississant : amidon de maïs, _noix de cajou_, épices, sel, acidifiant : acide citrique.","['olive verte égouttée', 'huile de tournesol', 'basilic', 'eau', 'pomme de terre', ""vinaigre d'alcool"", 'sucre', 'Fromages italiens', 'Grana Padano AOP', 'Parmigiano reggiano AOP', ""huile d'olive"", 'épaississant', '_noix de cajou_', 'épices', 'sel', 'acidifiant', '_lait_', 'sel', 'présure', 'conservateur', '_lait_ de vache', 'sel', 'présure', 'amidon de maïs', 'acide citrique', 'lysozyme', '_oeuf_']","[{'percent_min': 0, 'rank': 15, 'vegan': 'yes', 'percent_max': '1.8', 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}, {'id': 'en:salt', 'text': 'sel', 'vegetarian': 'yes', 'percent_max': 0.9, 'vegan': 'yes', 'percent_min': 0}, {'id': 'en:salt', 'text': 'sel', 'percent_min': 0, 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': 0.9}]",1.8,0,"[{'text': 'huile de tournesol', 'id': 'en:sunflower-oil', 'vegan': 'yes', 'percent_max': '33', 'vegetarian': 'yes', 'from_palm_oil': 'no', 'percent_min': '14', 'rank': 2}, {'vegan': 'yes', 'percent_max': '1.8', 'vegetarian': 'yes', 'text': ""huile d'olive"", 'id': 'en:olive-oil', 'rank': 11, 'percent_min': 0, 'from_palm_oil': 'no'}]",33,14,huile de tournesol,"{'nova-group_100g': 4, 'energy-kj_100g': 1086, 'salt_unit': 'g', 'sugars_100g': 2.6, 'nova-group': 4, 'sugars_unit': 'g', 'energy-kj': 1086, 'energy-kj_unit': 'kJ', 'sodium': 0.3, 'energy-kj_value': 1086, 'salt': 0.75, 'energy_100g': 1086, 'energy': 1086, 'sugars_value': 2.6, 'sodium_100g': 0.3, 'nutrition-score-fr': 8, 'fat_100g': 25, 'nutrition-score-fr_100g': 8, 'saturated-fat_value': 3.3, 'saturated-fat_unit': 'g', 'carbohydrates': 5.8, 'proteins_100g': 1.7, 'nutrition-score-fr_serving': 8, 'saturated-fat': 3.3, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 3.3, 'sodium_unit': 'g', 'proteins_value': 1.7, 'fat_value': 25, 'carbohydrates_value': 5.8, 'sugars': 2.6, 'salt_value': 0.75, 'nova-group_serving': 4, 'fat_unit': 'g', 'fat': 25, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'salt_100g': 0.75, 'sodium_value': 0.3, 'energy_unit': 'kJ', 'carbohydrates_100g': 5.8, 'proteins_unit': 'g', 'energy_value': 1086, 'proteins': 1.7}",1086.0,,3.3,25.0,5.8,2.6,0.0,1.7,0.3,0.75,8.0,,4.0
2,3017239003983,Sauce aux olives façon pesto rosso,Sauce aux olives façon pesto rosso,Tramier,['tramier'],['tramier'],190g,190,['en:france'],[],France,France,['en:france'],"Epicerie, Sauces, Sauces Pesto, Sauces Pesto Rosso","{'ciqual_food_name:fr': 'Sauce pesto rosso, préemballée', 'ciqual_food_name:en': 'Sauce, pesto rosso, prepacked'}",Fat and sauces,Dressings and sauces,en:red-pestos,20120622,31,"Tomate 46%, olive 18% (dont olive verte égouttée 10% et olive noire 8%), huile de tournesol, pomme de terre, huile d'olive, _fromages_ italiens 3.8% (dont  Grana Padano AOP (_lait_, sel, présure, conservateur : lysozyme (_œuf_)) et Parmigiano reggiano AOP (_lait_ de vache, sel, présure)), basilic, sucre, _noix de cajou_, vinaigre balsamique (vinaigre de vin, moût concentré, colorant: caramel E150d), épices, vinaigre d'alcool, sel, acidifiant: acide citrique.","['Tomate', 'olive', 'huile de tournesol', 'pomme de terre', ""huile d'olive"", '_fromages_ italiens', 'dont Grana Padano AOP', 'Parmigiano reggiano AOP', 'basilic', 'sucre', '_noix de cajou_', 'vinaigre balsamique', 'épices', ""vinaigre d'alcool"", 'sel', 'acidifiant', 'dont olive verte égouttée 10% et olive noire', '_lait_', 'sel', 'présure', 'conservateur', '_lait_ de vache', 'sel', 'présure', 'vinaigre de vin', 'moût', 'colorant', 'acide citrique', 'lysozyme', 'e150d', '_œuf_']","[{'rank': 15, 'vegan': 'yes', 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}, {'vegetarian': 'yes', 'vegan': 'yes', 'id': 'en:salt', 'text': 'sel'}, {'vegetarian': 'yes', 'vegan': 'yes', 'id': 'en:salt', 'text': 'sel'}]",0,0,"[{'vegetarian': 'yes', 'rank': 3, 'vegan': 'yes', 'from_palm_oil': 'no', 'id': 'en:sunflower-oil', 'text': 'huile de tournesol'}, {'vegetarian': 'yes', 'vegan': 'yes', 'rank': 5, 'from_palm_oil': 'no', 'id': 'en:olive-oil', 'text': ""huile d'olive""}]",0,0,,"{'nutrition-score-fr_serving': 7, 'saturated-fat': 3, 'saturated-fat_100g': 3, 'carbohydrates_unit': 'g', 'sodium_unit': 'g', 'sugars_serving': 8.17, 'fat_100g': 20, 'nutrition-score-fr_100g': 7, 'energy-kj_serving': 1730, 'saturated-fat_value': 3, 'saturated-fat_unit': 'g', 'carbohydrates': 6.3, 'proteins_100g': 2.8, 'fat': 20, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 46, 'sodium_value': 0.48, 'salt_100g': 1.2, 'energy_unit': 'kJ', 'carbohydrates_serving': 12, 'carbon-footprint-from-known-ingredients_product': 102, 'carbohydrates_100g': 6.3, 'sodium_serving': 0.912, 'proteins_unit': 'g', 'salt_serving': 2.2800000000000002, 'energy_value': 909, 'proteins': 2.8, 'carbohydrates_value': 6.3, 'proteins_value': 2.8, 'fat_value': 20, 'sugars': 4.3, 'salt_value': 1.2, 'nova-group_serving': 4, 'fat_unit': 'g', 'energy_serving': 1730, 'sugars_unit': 'g', 'carbon-footprint-from-known-ingredients_serving': 102, 'energy-kj': 909, 'nova-group_100g': 4, 'saturated-fat_serving': 5.7, 'energy-kj_100g': 909, 'salt_unit': 'g', 'sugars_100g': 4.3, 'fat_serving': 38, 'nova-group': 4, 'carbon-footprint-from-known-ingredients_100g': 53.599999999999994, 'sodium_100g': 0.48, 'nutrition-score-fr': 7, 'energy-kj_value': 909, 'proteins_serving': 5.32, 'energy-kj_unit': 'kJ', 'sodium': 0.48, 'salt': 1.2, 'energy_100g': 909, 'energy': 909, 'sugars_value': 4.3}",909.0,,3.0,20.0,6.3,4.3,46.0,2.8,0.48,1.2,7.0,,4.0
3,3017239003990,,Sauce aux Olives Citron Confit,Tramier,['tramier'],['tramier'],,,['en:france'],,,,['en:france'],,{},unknown,unknown,,20150316.jqm2,,,[],[],0,0,[],0,0,,"{'saturated-fat': 1, 'sodium_unit': 'g', 'saturated-fat_100g': 1, 'carbohydrates_unit': '', 'saturated-fat_unit': '', 'saturated-fat_value': 1, 'fat_100g': 7.5, 'proteins_100g': 1.4, 'carbohydrates': 4.2, 'energy_unit': 'kcal', 'sodium_value': 0.5599999999999999, 'salt_100g': 1.4, 'fat': 7.5, 'proteins': 1.4, 'energy_value': 97, 'proteins_unit': '', 'carbohydrates_100g': 4.2, 'energy-kcal_100g': 97, 'fat_unit': '', 'salt_value': 1.4, 'energy-kcal_unit': 'kcal', 'sugars': 3.5, 'carbohydrates_value': 4.2, 'proteins_value': 1.4, 'fat_value': 7.5, 'sugars_unit': '', 'sugars_100g': 3.5, 'salt_unit': '', 'sodium_100g': 0.5599999999999999, 'energy-kcal_value': 97, 'salt': 1.4, 'sodium': 0.5599999999999999, 'sugars_value': 3.5, 'energy': 406, 'energy-kcal': 97, 'energy_100g': 406}",406.0,97.0,1.0,7.5,4.2,3.5,,1.4,0.5599999999999999,1.4,,,
4,3017239004003,Sauce aux olives champignons,Sauce aux olives champignons,Tramier,['tramier'],['tramier'],,,['en:france'],[],France,France,['en:france'],"Epicerie, Sauces, Sauces tomate, Sauces tomates aux champignons","{'ciqual_food_name:en': 'Tomato sauce, w mushrooms, prepacked', 'ciqual_food_name:fr': 'Sauce tomate aux champignons, préemballée'}",Fat and sauces,Dressings and sauces,fr:sauces-tomates-aux-champignons,20150316.jqm2,16,"Tomate (36 %), champignon (24 %), olive verte égouttée (20 %), pomme de terre, huile d'olive, oignon, épices, _crème_ fraîche liquide (_crème_, stabilisant : carraghénanes), sel, vinaigre d'alcool, sucre, acidifiant : acide citrique.","['Tomate', 'champignon', 'olive verte égouttée', 'pomme de terre', ""huile d'olive"", 'oignon', 'épices', '_crème_ fraîche liquide', 'sel', ""vinaigre d'alcool"", 'sucre', 'acidifiant', '_crème_', 'stabilisant', 'acide citrique', 'carraghénanes']","[{'percent_min': 0, 'vegetarian': 'yes', 'rank': 9, 'vegan': 'yes', 'percent_max': 5.396825396825396, 'id': 'en:salt', 'text': 'sel'}]",5.396825396825396,0,"[{'percent_min': 0, 'from_palm_oil': 'no', 'rank': 5, 'text': ""huile d'olive"", 'id': 'en:olive-oil', 'percent_max': 12.59259259259259, 'vegan': 'yes', 'vegetarian': 'yes'}]",12.59259259259259,0,huile d'olive,"{'carbohydrates': 4.1, 'proteins_100g': 1.5, 'nutrition-score-fr_100g': 7, 'fat_100g': 7, 'saturated-fat_unit': 'g', 'saturated-fat_value': 1.3, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 1.3, 'sodium_unit': 'g', 'nutrition-score-fr_serving': 7, 'saturated-fat': 1.3, 'sugars': 2.5, 'energy-kcal_unit': 'kcal', 'proteins_value': 1.5, 'fat_value': 7, 'carbohydrates_value': 4.1, 'fat_unit': 'g', 'nova-group_serving': 4, 'salt_value': 1.2, 'energy-kcal_100g': 91, 'proteins_unit': 'g', 'carbohydrates_100g': 4.1, 'proteins': 1.5, 'energy_value': 91, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 36, 'fat': 7, 'carbon-footprint-from-known-ingredients_product': 121, 'energy_unit': 'kcal', 'sodium_value': 0.48, 'salt_100g': 1.2, 'nova-group': 4, 'nova-group_100g': 4, 'sugars_100g': 2.5, 'salt_unit': 'g', 'sugars_unit': 'g', 'energy-kcal': 91, 'energy_100g': 381, 'sugars_value': 2.5, 'energy': 381, 'sodium': 0.48, 'salt': 1.2, 'sodium_100g': 0.48, 'energy-kcal_value': 91, 'nutrition-score-fr': 7, 'carbon-footprint-from-known-ingredients_100g': 63.599999999999994}",381.0,91.0,1.3,7.0,4.1,2.5,36.0,1.5,0.48,1.2,7.0,,4.0
5,3017239004010,Tramier,Tramier,Tramier,['tramier'],['tramier'],,,['en:france'],[],France,"Lyon,France",['en:france'],"Epicerie, Sauces, Sauces aux légumes, Sauces aux olives",{},Fat and sauces,Dressings and sauces,en:vegetable-sauces,20150316.jqm2,16,"Tomate (50 %), olive (27 %) (dont olive verte égouttée (19 %) et olive noire (8 %)), poivron (5,4 %) (dont poivron jaune et rouge), huile d'olive, pomme de terre, huile de tournesol, épices, aubergine, sucre, vinaigre d'alcool, sel, acidifiant : acide citrique.","['Tomate', 'olive', 'poivron', ""huile d'olive"", 'pomme de terre', 'huile de tournesol', 'épices', 'aubergine', 'sucre', ""vinaigre d'alcool"", 'sel', 'acidifiant', 'dont olive verte égouttée', 'olive noire', 'dont poivron jaune et rouge', 'acide citrique']","[{'percent_min': 0, 'percent_max': 2.025332524985303, 'vegan': 'yes', 'rank': 11, 'vegetarian': 'yes', 'text': 'sel', 'id': 'en:salt'}]",2.025332524985303,0,"[{'percent_max': '5.4', 'vegan': 'yes', 'vegetarian': 'yes', 'text': ""huile d'olive"", 'id': 'en:olive-oil', 'percent_min': 1.9555555555555548, 'from_palm_oil': 'no', 'rank': 4}, {'id': 'en:sunflower-oil', 'text': 'huile de tournesol', 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': 4.87986111111111, 'rank': 6, 'from_palm_oil': 'no', 'percent_min': 0.971428571428569}]",5.4,1.9555555555555548,huile d'olive,"{'sodium': 0.44000000000000006, 'salt': 1.1, 'energy_100g': 556, 'energy-kcal': 133, 'energy': 556, 'sugars_value': 3.2, 'carbon-footprint-from-known-ingredients_100g': 89.36, 'nutrition-score-fr': 5, 'energy-kcal_value': 133, 'sodium_100g': 0.44000000000000006, 'nova-group_100g': 3, 'salt_unit': '', 'sugars_100g': 3.2, 'nova-group': 3, 'sugars_unit': '', 'energy-kcal_100g': 133, 'energy-kcal_unit': 'kcal', 'sugars': 3.2, 'carbohydrates_value': 4.1, 'fat_value': 12, 'proteins_value': 1.4, 'fat_unit': '', 'nova-group_serving': 3, 'salt_value': 1.1, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 57.355555555555554, 'fat': 12, 'energy_unit': 'kcal', 'carbon-footprint-from-known-ingredients_product': 170, 'salt_100g': 1.1, 'sodium_value': 0.44000000000000006, 'proteins_unit': '', 'carbohydrates_100g': 4.1, 'proteins': 1.4, 'energy_value': 133, 'nutrition-score-fr_100g': 5, 'fat_100g': 12, 'saturated-fat_unit': '', 'saturated-fat_value': 1.5, 'carbohydrates': 4.1, 'proteins_100g': 1.4, 'nutrition-score-fr_serving': 5, 'saturated-fat': 1.5, 'saturated-fat_100g': 1.5, 'carbohydrates_unit': '', 'sodium_unit': 'g'}",556.0,133.0,1.5,12.0,4.1,3.2,57.355555555555554,1.4,0.44000000000000006,1.1,5.0,,3.0
6,3021690017243,bolognaise boeuf rissolé,bolognaise boeuf rissolé,Zapetti,['zapetti'],['zapetti'],,,['en:france'],,,,['en:france'],,{},unknown,unknown,,20150316.jqm2,,,[],[],0,0,[],0,0,,"{'proteins_unit': '', 'carbohydrates_100g': 7.5, 'proteins': 4.4, 'energy_value': 98, 'fat': 5.3, 'energy_unit': 'kcal', 'salt_100g': 1.3, 'sodium_value': 0.52, 'energy-kcal_unit': 'kcal', 'sugars': 6.5, 'fat_value': 5.3, 'proteins_value': 4.4, 'carbohydrates_value': 7.5, 'fat_unit': '', 'salt_value': 1.3, 'energy-kcal_100g': 98, 'saturated-fat_100g': 1.8, 'carbohydrates_unit': '', 'sodium_unit': 'g', 'saturated-fat': 1.8, 'carbohydrates': 7.5, 'proteins_100g': 4.4, 'fat_100g': 5.3, 'saturated-fat_unit': '', 'saturated-fat_value': 1.8, 'energy-kcal_value': 98, 'sodium_100g': 0.52, 'energy-kcal': 98, 'energy_100g': 410, 'energy': 410, 'sugars_value': 6.5, 'sodium': 0.52, 'salt': 1.3, 'sugars_unit': '', 'salt_unit': '', 'sugars_100g': 6.5}",410.0,98.0,1.8,5.3,7.5,6.5,,4.4,0.52,1.3,,,
7,3021690017250,Napolitaine,Napolitaine,Zapetti,['zapetti'],['zapetti'],,,['en:france'],[],Espagne,France,['en:france'],"Epicerie, Sauces, Sauces tomate, Sauces napolitaines",{},Fat and sauces,Dressings and sauces,en:neapolitan-sauces,20150316.jqm2,9,"pulpe de tomate avec morceaux et purée de tomate à base de concentré 82%, oignon 7%, carotte 3,6%, huile de tournesol, sucre, sel, plantes aromatiques 0,7%, ail 0,5%, poivre 0,01%.","['pulpe de tomate avec morceaux et purée de tomate à base de concentré', 'oignon', 'carotte', 'huile de tournesol', 'sucre', 'sel', 'plantes aromatiques', 'ail', 'poivre']","[{'percent_min': '0.7', 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': 2.2516666666666665, 'rank': 6, 'id': 'en:salt', 'text': 'sel'}]",2.2516666666666665,0.7,"[{'text': 'huile de tournesol', 'id': 'en:sunflower-oil', 'percent_max': '3.6', 'vegan': 'yes', 'vegetarian': 'yes', 'rank': 4, 'from_palm_oil': 'no', 'percent_min': 1.2333333333333343}]",3.6,1.2333333333333343,huile de tournesol,"{'proteins': 1.3, 'energy_value': 269, 'proteins_unit': 'g', 'carbohydrates_100g': 7.7, 'carbon-footprint-from-known-ingredients_product': 31.5, 'energy_unit': 'kJ', 'salt_100g': 1, 'sodium_value': 0.4, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 11.1, 'fat': 2.8, 'fat_unit': 'g', 'salt_value': 1, 'nova-group_serving': 3, 'sugars': 7.1, 'proteins_value': 1.3, 'carbohydrates_value': 7.7, 'fat_value': 2.8, 'fiber_value': 1.5, 'sodium_unit': 'g', 'carbohydrates_unit': 'g', 'saturated-fat_100g': 0.4, 'saturated-fat': 0.4, 'nutrition-score-fr_serving': 4, 'proteins_100g': 1.3, 'carbohydrates': 7.7, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.4, 'nutrition-score-fr_100g': 4, 'fat_100g': 2.8, 'sodium_100g': 0.4, 'nutrition-score-fr': 4, 'carbon-footprint-from-known-ingredients_100g': 5.439000000000001, 'sugars_value': 7.1, 'energy': 269, 'fiber': 1.5, 'fiber_unit': 'g', 'energy_100g': 269, 'salt': 1, 'sodium': 0.4, 'energy-kj_value': 269, 'energy-kj_unit': 'kJ', 'energy-kj': 269, 'sugars_unit': 'g', 'nova-group': 3, 'fiber_100g': 1.5, 'salt_unit': 'g', 'sugars_100g': 7.1, 'energy-kj_100g': 269, 'nova-group_100g': 3}",269.0,,0.4,2.8,7.7,7.1,11.1,1.3,0.4,1.0,4.0,1.5,3.0
8,3021690017267,La sauce italienne à la viande rôtie,La sauce italienne à la viande rôtie,Zapetti,['zapetti'],['zapetti'],95 g,95,['en:france'],['camaret-sur-aigues-vaucluse-france'],"Raynal et Roquelaure Provence - R&R (Filiale Cofigeo) - Chemin de Piolenc - 84850 Camaret-sur-Aigues,Vaucluse,Provence-Alpes-Côte d'Azur,France","Villers Bocage 80260,France",['en:france'],"Epicerie, Produits à la viande, Sauces, Sauces tomate, Sauces à la viande, Sauces pour pâtes",{},Fat and sauces,Dressings and sauces,en:tomato-sauces,20150316.jqm2,15,"Purée de tomate mi-réduite à base de concentré 70,3 %, viande rôtie 14 % (bœuf Français 9,3 %, porc), carotte 6,2 %, oignon 2,2 %, sucre, huile de tournesol, sel,  vin blanc, amidon transformé de maïs, blanc d’_œuf_, protéines de _lait_, épices (dont _céleri_), ail.","['Purée de tomate mi-réduite', 'viande', 'carotte', 'oignon', 'sucre', 'huile de tournesol', 'sel', 'vin blanc', 'amidon transformé de maïs', ""blanc d'_œuf_"", 'protéines de _lait_', 'épices', 'ail', 'porc', 'dont _céleri_']","[{'id': 'en:salt', 'text': 'sel', 'percent_min': 0.4142857142857131, 'vegetarian': 'yes', 'rank': 7, 'percent_max': '2.2', 'vegan': 'yes'}]",2.2,0.4142857142857131,"[{'text': 'huile de tournesol', 'id': 'en:sunflower-oil', 'vegan': 'yes', 'percent_max': '2.2', 'vegetarian': 'yes', 'percent_min': 0.6374999999999993, 'from_palm_oil': 'no', 'rank': 6}]",2.2,0.6374999999999993,huile de tournesol,"{'nova-group_100g': 4, 'energy-kj_100g': 306, 'saturated-fat_serving': 1.43, 'sugars_100g': 6.1, 'salt_unit': 'g', 'fat_serving': 4.08, 'fiber_100g': 1.6, 'nova-group': 4, 'energy_serving': 291, 'fiber_serving': 1.52, 'sugars_unit': 'g', 'carbon-footprint-from-known-ingredients_serving': 3.02, 'energy-kj': 306, 'sodium': 0.48, 'proteins_serving': 3.23, 'energy-kj_unit': 'kJ', 'energy-kj_value': 306, 'salt': 1.2000000000000006, 'energy_100g': 306, 'fiber_unit': 'g', 'fiber': 1.6, 'sugars_value': 6.1, 'energy': 306, 'carbon-footprint-from-known-ingredients_100g': 3.1799999999999997, 'nutrition-score-fr': 2, 'sodium_100g': 0.48, 'fat_100g': 4.3, 'nutrition-score-fr_100g': 2, 'saturated-fat_value': 1.5, 'energy-kj_serving': 291, 'saturated-fat_unit': 'g', 'carbohydrates': 8.5, 'proteins_100g': 3.4, 'nutrition-score-fr_serving': 2, 'saturated-fat': 1.5, 'saturated-fat_100g': 1.5, 'carbohydrates_unit': 'g', 'sodium_unit': 'g', 'sugars_serving': 5.79, 'fiber_value': 1.6, 'proteins_value': 3.4, 'carbohydrates_value': 8.5, 'fat_value': 4.3, 'sugars': 6.1, 'nova-group_serving': 4, 'salt_value': 1.2, 'fat_unit': 'g', 'fat': 4.3, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 78.7, 'salt_100g': 1.2000000000000006, 'sodium_value': 0.48, 'energy_unit': 'kJ', 'carbon-footprint-from-known-ingredients_product': 6.04, 'carbohydrates_serving': 8.08, 'carbohydrates_100g': 8.5, 'sodium_serving': 0.456, 'proteins_unit': 'g', 'salt_serving': 1.1400000000000001, 'energy_value': 306, 'proteins': 3.4}",306.0,,1.5,4.3,8.5,6.1,78.7,3.4,0.48,1.2000000000000006,2.0,1.6,4.0
9,3021690017274,Sauce tomate de Provence Languedoc,Sauce tomate de Provence Languedoc,"zapetti,raynal et roquelaure","['zapetti', 'raynal-et-roquelaure']","['zapetti', 'raynal-et-roquelaure']",95g,95,['en:france'],['camaret-sur-aigues-vaucluse-france'],,"France,chalon-sur-saône",['en:france'],"Epicerie, Sauces, Sauces tomate, Sauces provençales",{},Fat and sauces,Dressings and sauces,en:provencale-sauces,20150316.jqm2,12,"purée de tomate de Provence et Languedoc à base de concentré 84,8%, oignon, carotte, sucre, amidon de maïs, sel, plantes aromatiques, arômes naturels, huile de tournesol, extrait d'ail, extrait de poivre, arôme naturel de sauge.","['purée de tomate de Provence et Languedoc à base de concentré', 'oignon', 'carotte', 'sucre', 'amidon de maïs', 'sel', 'plantes aromatiques', 'arômes naturels', 'huile de tournesol', ""extrait d'ail"", 'extrait de poivre', 'arôme naturel de sauge']","[{'id': 'en:salt', 'text': 'sel', 'percent_min': 0, 'vegetarian': 'yes', 'percent_max': 3.454545454545457, 'vegan': 'yes', 'rank': 6}]",3.454545454545457,0,"[{'id': 'en:sunflower-oil', 'text': 'huile de tournesol', 'vegetarian': 'yes', 'vegan': 'yes', 'percent_max': 1.9740259740259753, 'rank': 9, 'percent_min': 0, 'from_palm_oil': 'no'}]",1.9740259740259753,0,huile de tournesol,"{'fiber_value': 1.5, 'sugars': 6.5, 'proteins_value': 2, 'carbohydrates_value': 10.5, 'fat_value': 0.2, 'fat_unit': 'g', 'nova-group_serving': 4, 'salt_value': 1, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 1.381818181818182, 'fat': 0.2, 'carbohydrates_serving': 9.97, 'energy_unit': 'kJ', 'sodium_value': 0.4, 'salt_100g': 1, 'proteins_unit': 'g', 'sodium_serving': 0.38, 'salt_serving': 0.9500000000000001, 'carbohydrates_100g': 10.5, 'proteins': 2, 'energy_value': 227, 'nutrition-score-fr_100g': 3, 'fat_100g': 0.2, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.05, 'energy-kj_serving': 216, 'carbohydrates': 10.5, 'proteins_100g': 2, 'nutrition-score-fr_serving': 3, 'saturated-fat': 0.05, 'carbohydrates_unit': 'g', 'saturated-fat_100g': 0.05, 'sodium_unit': 'g', 'sugars_serving': 6.17, 'sodium': 0.4, 'proteins_serving': 1.9, 'energy-kj_value': 227, 'energy-kj_unit': 'kJ', 'salt': 1, 'energy_100g': 227, 'energy': 227, 'sugars_value': 6.5, 'fiber_unit': 'g', 'fiber': 1.5, 'nutrition-score-fr': 3, 'sodium_100g': 0.4, 'nova-group_100g': 4, 'salt_unit': 'g', 'sugars_100g': 6.5, 'energy-kj_100g': 227, 'saturated-fat_serving': 0.0475, 'fiber_100g': 1.5, 'fat_serving': 0.19, 'nova-group': 4, 'fiber_serving': 1.43, 'energy_serving': 216, 'sugars_unit': 'g', 'energy-kj': 227}",227.0,,0.05,0.2,10.5,6.5,1.381818181818182,2.0,0.4,1.0,3.0,1.5,4.0
