,sub_ingredients_id,sub_ingredients_text,id_ingredient,O_EAN13
0,en:e330,acide citrique,en:acid,162
1,,,en:acid,152
2,en:e415,gomme xanthane,en:thickener,129
3,en:e270,acide lactique,en:acid,125
4,en:e250,nitrite de sodium,en:preservative,102
5,en:e202,sorbate de potassium,en:preservative,89
6,en:onion,oignons,en:vegetable,75
7,en:e300,acide ascorbique,en:antioxidant,73
8,en:e270,acide lactique,en:acidity-regulator,72
9,,,en:preservative,64
10,en:e330,acide citrique,en:acidity-regulator,64
11,,,en:tomato,49
12,,,en:antioxidant,47
13,en:e301,ascorbate de sodium,en:antioxidant,46
14,en:e150a,caramel ordinaire,en:colour,42
15,,,en:thickener,39
16,en:water,eau,en:mustard,38
17,,,en:stabiliser,37
18,en:e412,gomme guar,en:thickener,34
19,,,en:colour,34
20,en:e202,e202,en:preservative,34
21,,,en:acidity-regulator,33
22,en:water,eau,fr:moutarde-de-dijon,33
23,en:e160c,extrait de paprika,en:colour,31
24,en:e316,érythorbate de sodium,en:antioxidant,30
25,,,en:emulsifier,26
26,en:carrot,carottes,en:vegetable,23
27,en:e160a,bêta-carotène,en:colour,23
28,en:water,eau,en:soy-sauce,22
29,en:e330,e330,en:acid,21
30,en:e575,glucono-delta-lactone,en:acid,20
31,en:e211,benzoate de sodium,en:preservative,19
32,en:e270,Acide lactique,en:acidity-regulator,19
33,en:e161b,lutéine,en:colour,18
34,en:e160,caroténoïdes,en:colour,17
35,en:e621,glutamate monosodique,en:flavour-enhancer,17
36,en:wheat-flour,farine de _blé_,en:bread-crumbs,17
37,en:e120,carmins,en:colour,16
38,en:water,eau,en:poultry-broth,16
39,en:water,eau,en:sauce,16
40,,,en:bread-crumbs,16
41,,,en:crushed-tomato,16
42,en:e621,e621,en:flavour-enhancer,15
43,,,fr:moutarde-de-dijon,15
44,en:e412,gomme de guar,en:thickener,15
45,fr:contiennent du céleri,contiennent du céleri,en:herbs-and-spices,14
46,,,en:gelling-agent,14
47,en:e300,e300,en:antioxidant,14
48,en:e410,farine de graines de caroube,en:thickener,14
49,en:peeled-tomatoes,tomate pelée,en:tomato-pulp,14
50,en:capers,câpres,en:capers,14
51,en:cooked-beef-meat,bœuf cuit,en:meat,14
52,,,en:flour-treatment-agent,14
53,en:pulp,pulpe,en:tomato,14
54,en:wheat-flour,farine de blé,en:bread-crumbs,13
55,en:e415,gomme de xanthane,en:thickener,13
56,fr:contiennent du _céleri_,contiennent du _céleri_,en:herbs-and-spices,13
57,,,en:beef-meat,13
58,en:onion,oignons,fr:legumes-frais,11
59,en:water,eau,fr:mayonnaise-allegee-en-matiere-grasse,11
60,,,en:spice,11
61,en:e415,gomme xanthane,en:stabiliser,10
62,en:e415,e415,en:thickener,10
63,en:anchovy,_anchois_,en:anchovy-paste,10
64,en:e270,e270,en:acid,10
65,en:olives,olives,fr:olives-vertes-denoyautees,9
66,en:milk,_lait_,en:flavouring,9
67,en:e306,extrait riche en tocophérols,en:antioxidant,9
68,en:tomato,tomates,en:dried-tomatoes,9
69,,,en:firming-agent,9
70,en:e472c,esters citriques des mono- et diglycérides d'acides gras,en:emulsifier,8
71,en:onion,oignon,en:pre-fried-onions,8
72,en:xanthan-gum-and-guar-gum,gomme xanthane et gomme guar,en:thickener,8
73,en:e330,e330,en:acidity-regulator,8
74,en:e120,e120,en:colour,8
75,en:e392,extrait de romarin,en:antioxidant,8
76,en:black-olive,olives noires,en:black-olive,8
77,en:tomato-cubes,dés de tomates,en:tomato-pulp,8
78,en:e960,glycosides de stéviol,en:sweetener,8
79,en:e260,acide acétique,en:acid,8
80,en:beef,boeuf,en:meat,8
81,en:garlic,ail,en:herbs-and-spices,8
82,,,en:grana-padano,8
83,en:e472e,e472e,en:emulsifier,8
84,en:wine-vinegar,vinaigre de vin,en:balsamic-vinegar,8
