,id_ingredient,text,O_EAN13
0,en:salt,sel,2568
1,en:water,eau,1356
2,en:sugar,sucre,1185
3,en:garlic,ail,769
4,en:sunflower-oil,huile de tournesol,755
5,en:pepper,poivre,496
6,en:onion,oignons,493
7,en:acid,acidifiant,444
8,en:e330,acide citrique,431
9,en:onion,oignon,391
10,en:basil,basilic,389
11,en:alcohol-vinegar,vinaigre d'alcool,359
12,en:spice,épices,350
13,en:preservative,conservateur,336
14,en:carrot,carottes,323
15,en:colza-oil,huile de colza,293
16,en:extra-virgin-olive-oil,huile d'olive vierge extra,285
17,en:e270,acide lactique,278
18,en:parsley,persil,267
19,en:flavouring,arômes,247
20,en:antioxidant,antioxydant,240
21,en:vinegar,vinaigre,233
22,en:thickener,épaississant,222
23,en:modified-corn-starch,amidon transformé de maïs,217
24,en:e415,gomme xanthane,216
25,en:water,Eau,208
26,en:colour,colorant,194
27,en:natural-flavouring,arôme naturel,165
28,en:crushed-tomato,concentré de tomates,164
29,en:thyme,thym,163
30,en:tomato,Tomates,162
31,en:acidity-regulator,correcteur d'acidité,155
32,en:natural-flavouring,arômes naturels,151
33,en:carrot,carotte,148
34,en:tomato,tomates,141
35,en:flavouring,arôme,138
36,en:concentrated-lemon-juice,jus de citron concentré,135
37,en:vegetable,légumes,133
38,en:herb,plantes aromatiques,127
39,en:olive-oil,huile d'olive,125
40,en:corn-starch,amidon de maïs,122
41,en:crushed-tomato,concentré de tomate,121
42,en:black-pepper,poivre noir,119
43,en:e250,nitrite de sodium,117
44,en:white-wine,vin blanc,113
45,en:e202,sorbate de potassium,113
46,en:chili-pepper,piment,109
47,en:tomato,tomate,108
48,en:e300,acide ascorbique,108
49,en:thickener,épaississants,108
50,en:oregano,origan,107
51,en:crushed-tomato,purée de tomates,96
52,en:milk,lait,95
53,en:modified-corn-starch,amidon modifié de maïs,89
54,en:spice,épice,87
55,en:capers,câpres,87
56,en:dextrose,dextrose,87
57,en:e160c,extrait de paprika,85
58,en:acid,acidifiants,84
59,en:coriander,coriandre,82
60,en:colza-oil,Huile de colza,82
61,en:wheat-flour,farine de blé,81
62,en:yeast-extract,extrait de levure,80
63,en:lemon-juice,jus de citron,80
64,en:wheat-flour,farine de _blé_,79
65,en:rosemary,romarin,78
66,en:turmeric,curcuma,76
67,en:white-pepper,poivre blanc,75
68,en:sunflower-oil,Huile de tournesol,71
69,en:cream,crème,71
70,en:sea-salt,sel marin,70
71,en:bread-crumbs,chapelure,68
72,en:celery,céleri,68
73,en:shallot,échalote,68
74,en:modified-starch,amidon modifié,68
75,en:glucose-syrup,sirop de glucose,67
76,en:red-bell-pepper,poivrons rouges,67
77,en:crushed-tomato,Purée de tomates,66
78,en:armagnac,Armagnac,66
79,en:tomato-pulp,Pulpe de tomates,65
80,en:tomato,Tomate,64
81,en:ginger,gingembre,63
82,en:bell-pepper,paprika,63
83,en:e412,gomme guar,62
84,en:maltodextrins,maltodextrine,62
85,en:concentrated-lemon-juice,jus concentré de citron,61
86,en:beef-meat,viande bovine,61
87,en:milk,LAIT,60
88,en:bell-pepper,poivrons,59
89,en:garlic-powder,ail en poudre,58
90,en:stabiliser,stabilisant,58
91,en:e330,e330,57
92,en:yeast,levure,56
93,en:glucose-fructose-syrup,sirop de glucose-fructose,56
94,en:colour,colorants,56
95,en:herbs-and-spices,épices et plantes aromatiques,56
96,en:milk,_lait_,56
97,en:cumin-seeds,cumin,54
98,en:e301,ascorbate de sodium,50
99,en:pork-meat,viande de porc,50
100,en:emulsifier,émulsifiant,49
101,en:tomato-pulp,pulpe de tomates,49
102,en:aubergine,aubergines,49
103,en:celery,_céleri_,49
104,en:e150a,caramel ordinaire,47
105,en:bay-leaf,laurier,47
106,en:wine-vinegar,vinaigre de vin,46
107,en:crushed-tomato,purée de tomate,46
108,en:lard,gras de porc,46
109,en:black-olive,olives noires,45
110,en:mustard-seed,graines de _moutarde_,43
111,en:e202,e202,43
112,en:mustard-seed,graines de moutarde,43
113,en:tomato-juice,jus de tomates,43
114,en:basil,Basilic,43
115,en:green-olives,Olives vertes,42
116,en:cane-sugar,sucre de canne,42
117,en:milk-proteins,protéines de _lait_,42
118,en:tomato-pulp,Pulpe de tomate,42
119,en:potato-starch,amidon de pomme de terre,42
120,en:dried-tomatoes,tomates séchées,41
121,en:sea-salt,sel de mer,41
122,en:tomato-pulp,pulpe de tomate,41
123,en:e415,e415,40
124,en:pork,porc,40
125,en:chives,ciboulette,40
126,en:fish,poisson,40
127,en:herbes-de-provence,herbes de Provence,40
128,en:beef-meat,viande de bœuf,40
129,en:herbs-and-spices,épices et aromates,40
130,en:red-bell-pepper,poivron rouge,39
131,en:leek,poireau,38
132,en:tomato-juice,jus de tomate,38
133,en:olives,olives,37
134,en:green-bell-pepper,poivrons verts,37
135,en:green-olives,olives vertes,37
136,en:mustard,moutarde,37
137,en:salt,Sel,37
138,en:e1404,amidon modifié de pomme de terre,37
139,en:anchovy,anchois,36
140,en:rice-starch,amidon de riz,36
141,en:red-wine,vin rouge,35
142,en:meat,viande,35
143,en:e316,érythorbate de sodium,35
144,en:e1404,amidon transformé de pomme de terre,35
145,en:courgette,courgettes,35
146,en:pepper-extract,extrait de poivre,35
147,en:cream,_crème_,35
148,en:rennet,présure,35
149,en:modified-starch,amidon transformé,34
150,en:garlic-puree,purée d'ail,34
151,en:mustard,_moutarde_,34
152,en:salt,sale,34
153,en:herbs-and-spices,extraits d'épices et d'herbes,34
154,en:wheat-flour,farine de BLE,34
155,en:flavour-enhancer,exhausteur de goût,34
156,en:spice,aromates,33
157,en:durum-wheat-semolina,semoule de _blé_ dur,33
158,en:honey,miel,33
159,en:e270,e270,33
160,en:sugar,Sucre,32
161,en:onion-powder,oignon en poudre,32
162,en:salt,salt,32
163,en:e407,carraghénanes,32
164,en:durum-wheat-semolina,semoule de blé dur,32
165,en:nutmeg,muscade,32
166,en:cashew-nuts,_noix de cajou_,32
167,en:smoke-flavouring,arôme de fumée,32
168,en:milk-proteins,protéines de lait,32
169,en:cashew-nuts,noix de cajou,32
170,en:acidity-regulator,Correcteur d'acidité,32
171,en:tapioca-starch,fécule de manioc,32
172,en:garlic,Ail,31
173,en:milk-proteins,protéines de LAIT,31
174,en:butter,_beurre_,31
175,en:preservative,conservateurs,31
176,en:potato-starch,fécule de pomme de terre,30
177,en:modified-corn-starch,amidon de maïs modifié,30
178,en:pork-meat,Viande de porc,30
179,en:cognac,cognac,29
180,en:egg-yolk,jaune d'_oeuf_,29
181,en:double-concentrated-tomato,purée de tomates double concentrée,29
182,en:duck-fat,graisse de canard,29
183,en:herb,herbes,28
184,en:e211,benzoate de sodium,28
185,fr:foie-gras-de-canard-du-sud-ouest,Foie gras de canard du Sud-Ouest,28
186,en:e300,e300,28
187,en:e260,acide acétique,28
188,en:shallot,échalotes,28
189,fr:foie-gras-de-canard,Foie gras de canard,28
190,en:port,Porto,28
191,en:natural-spice-flavouring,arôme naturel d'épices,28
192,en:pine-nuts,pignons de pin,28
193,en:champignon,champignons de Paris,27
194,fr:moutarde-de-dijon,moutarde de Dijon,27
195,en:double-concentrated-tomato,double concentré de tomates,27
196,en:black-olive,Olives noires,27
197,en:modified-corn-starch,amidon transformé de mais,27
198,en:potato,pomme de terre,27
199,en:peeled-tomatoes,tomate pelée,27
200,en:e410,farine de graines de caroube,26
201,fr:Ingrédients de la préparation déshydratée,Ingrédients de la préparation déshydratée,26
202,en:cheese,fromage,26
203,en:mushroom,champignons,26
204,en:pork-gelatin,gélatine de porc,26
205,en:butter,beurre,26
206,en:salt,sal,26
207,en:e160a,bêta-carotène,25
208,en:nutmeg,noix de muscade,25
209,fr:olives-vertes-denoyautees,Olives vertes dénoyautées,25
210,en:e471,mono- et diglycérides d'acides gras,25
211,en:white-wine-vinegar,vinaigre de vin blanc,25
212,fr:puree-de-tomate-mi-reduite,purée de tomates mi-réduite,25
213,en:e270,Acide lactique,25
214,en:extra-virgin-olive-oil,huile d'olive extra vierge,25
215,en:sulfite,sulfites,25
216,en:double-concentrated-tomato,double concentré de tomate,25
217,en:colza-oil,colza,25
218,en:cayenne-pepper,piment de Cayenne,24
219,en:sugar,sugar,24
220,en:gelling-agent,gélifiant,24
221,en:starch,amidon,24
222,en:bell-pepper,poivron,24
223,en:egg-yolk,jaune d'oeuf,24
224,en:hot-chili-peppers,piment fort,23
225,en:lactose,_lactose_,23
226,en:fenugreek,fenugrec,23
227,en:double-concentrated-tomato,purée de tomate double concentrée,23
228,en:natural-basil-flavouring,arôme naturel de basilic,23
229,en:e161b,lutéine,23
230,en:curry,curry,23
231,en:fish,_poisson_,23
232,en:e412,gomme de guar,22
233,en:e575,glucono-delta-lactone,22
234,en:red-wine-vinegar,vinaigre de vin rouge,22
235,en:fresh-cream,_crème_ fraîche,22
236,en:palm,palme,22
237,en:egg-yolk,jaune d'OEUF,21
238,en:lard,Gras de porc,21
239,en:e150,caramel,21
240,fr:contiennent du céleri,contiennent du céleri,21
241,en:egg-yolk,jaune d'_œuf_,21
242,en:gherkin,cornichons,21
243,en:black-pepper,Poivre noir,21
244,en:soy-sauce,sauce soja,20
245,en:molasses,mélasse,20
246,en:anchovy,_anchois_,20
247,en:e160,caroténoïdes,20
248,en:soya,soja,20
249,fr:sariette,sarriette,20
250,en:emulsifier,émulsifiants,20
251,en:cep,cèpes,20
252,fr:foie-maigre-de-canard,foie maigre de canard,20
253,en:spice-extract,extrait d'épices,19
254,fr:foie-de-porc,foie de porc,19
255,en:e120,carmins,19
256,en:chicken-fillet,filet de poulet,19
257,fr:puree-de-tomate-mi-reduite,Purée de tomates mi-réduite,19
258,fr:legumes-frais,légumes frais,19
259,en:stabiliser,stabilisants,19
260,en:garlic-powder,poudre d'ail,19
261,en:e621,e621,19
262,en:extra-virgin-olive-oil,huile d'olive vierge extra extraite à froid,19
263,en:pine-nuts,pignons,18
264,en:fennel,fenouil,18
265,en:spice-extract,extrait d'épice,18
266,en:salt-from-guerande,sel de Guérande,18
267,en:e415,gomme de xanthane,18
268,en:salt,SEL,18
269,en:butter,BEURRE,18
270,en:rice-flour,farine de riz,18
271,en:fructose,fructose,18
272,en:pulp,pulpe,18
273,en:e621,glutamate monosodique,18
274,en:mustard-seed,graines de MOUTARDE,18
275,en:tomato-cubes,dés de tomates,18
276,en:chicken-meat,viande de poulet,18
277,en:clove,clou de girofle,17
278,en:salt,Salz,17
279,en:garlic-paste,pulpe d'ail,17
280,en:herb,herbes aromatiques,17
281,en:natural-pepper-flavouring,arôme naturel de poivre,17
282,en:palm-kernel-oil,palmiste,17
283,en:tomato,tomatoes,17
284,en:cinnamon,cannelle,16
285,en:celery,dont _céleri_,16
286,en:lemongrass,citronnelle,16
287,en:sulfite,_sulfites_,16
288,en:poultry-broth,fond de volaille,16
289,en:vegetable-fiber,fibres végétales,16
290,en:natural-onion-flavouring,arôme naturel d'oignon,16
291,en:green-pepper,poivre vert,16
292,en:e211,e211,16
293,en:ginger-puree,purée de gingembre,16
294,en:beef-meat,viande de boeuf,16
295,en:emmental,emmental,16
296,en:chickpea,pois chiches,15
297,en:chili-pepper,piments,15
298,en:potato-flakes,flocons de pomme de terre,15
299,en:caramelised-sugar,sucre caramélisé,15
300,en:e392,extrait de romarin,15
301,en:natural-garlic-flavouring,arôme naturel d'ail,15
302,en:sugar,azúcar,15
303,en:sugar,Zucker,15
304,en:onion,Oignon,15
305,en:red-chili-pepper,piment rouge,15
306,en:spice,spice,15
307,en:tapioca-starch,amidon de tapioca,15
308,en:crushed-peeled-tomato,tomates pelées concassées,15
309,en:wheat,blé,15
310,fr:extrait-d-ail,extrait d'ail,15
311,fr:puree-de-tomate-mi-reduite,Purée de tomate mi-réduite,15
312,en:lactose,lactose,15
313,en:flour-treatment-agent,agent de traitement de la farine,15
314,en:e250,e250,14
315,en:acidity-regulator,correcteurs d'acidité,14
