,id_ingredient,O_EAN13
0,en:salt,2776
1,en:water,1631
2,en:sugar,1320
3,en:onion,968
4,en:sunflower-oil,897
5,en:garlic,854
6,en:acid,553
7,en:spice,542
8,en:crushed-tomato,542
9,en:pepper,524
10,en:tomato,517
11,en:e330,516
12,en:carrot,496
13,en:basil,465
14,en:colza-oil,425
15,en:flavouring,420
16,en:modified-corn-starch,416
17,en:extra-virgin-olive-oil,406
18,en:alcohol-vinegar,383
19,en:preservative,382
20,en:e270,362
21,en:natural-flavouring,360
22,en:thickener,352
23,en:e415,310
24,en:parsley,296
25,en:antioxidant,278
26,en:colour,264
27,en:vinegar,263
28,en:milk,250
29,en:acidity-regulator,247
30,en:wheat-flour,242
31,en:concentrated-lemon-juice,237
32,en:tomato-pulp,218
33,en:herb,212
34,en:celery,191
35,en:bell-pepper,172
36,en:thyme,168
37,en:chili-pepper,163
38,en:herbs-and-spices,161
39,en:e202,160
40,en:corn-starch,159
41,en:black-pepper,155
42,en:e300,145
43,en:cream,143
44,en:olive-oil,142
45,en:sea-salt,142
46,en:milk-proteins,140
47,en:vegetable,140
48,en:e250,137
49,en:mustard-seed,128
50,en:double-concentrated-tomato,128
51,en:beef-meat,125
52,en:red-bell-pepper,123
53,en:oregano,121
54,en:egg-yolk,119
55,en:white-wine,118
56,en:e412,118
57,en:modified-starch,116
58,en:capers,113
59,en:e160c,104
60,fr:puree-de-tomate-mi-reduite,102
61,en:shallot,101
62,en:stabiliser,98
63,en:dextrose,93
64,en:yeast-extract,93
65,en:coriander,91
66,en:green-olives,89
67,en:garlic-powder,88
68,en:egg,87
69,en:potato-starch,87
70,en:lemon-juice,86
71,en:rosemary,85
72,en:mustard,84
73,en:tomato-juice,83
74,en:turmeric,83
75,en:pork-meat,82
76,en:black-olive,82
77,en:e1404,82
78,en:cashew-nuts,81
79,en:pine-nuts,81
80,en:glucose-syrup,80
81,en:fish,77
82,en:durum-wheat-semolina,77
83,en:lard,77
84,en:butter,75
85,en:white-pepper,75
86,en:maltodextrins,75
87,en:emulsifier,74
88,en:bread-crumbs,73
89,en:armagnac,72
90,en:ginger,71
91,en:cumin-seeds,68
92,en:aubergine,67
93,en:glucose-fructose-syrup,65
94,en:onion-powder,64
95,en:sulfite,64
96,en:anchovy,63
97,en:e150a,63
98,en:cheese,62
99,en:fresh-cream,62
100,en:spice-extract,62
101,en:e301,61
102,en:yeast,61
103,en:nutmeg,61
104,fr:moutarde-de-dijon,59
105,en:olives,56
106,en:wheat,56
107,en:wine-vinegar,54
108,en:lactose,53
109,en:bay-leaf,53
110,en:smoke-flavouring,53
111,en:courgette,52
112,en:cane-sugar,51
113,en:tapioca-starch,51
114,en:skimmed-milk-powder,51
115,en:pork,51
116,en:e621,50
117,en:dried-tomatoes,50
118,en:potato,49
119,en:leek,47
120,en:flavour-enhancer,47
121,en:herbes-de-provence,46
122,en:e407,45
123,en:e211,45
124,en:meat,45
125,en:e260,44
126,en:green-bell-pepper,43
127,en:parmesan,42
128,en:champignon,42
129,en:chives,42
130,en:rice-starch,41
131,en:tomato-cubes,41
132,en:soy-sauce,41
133,en:e471,41
134,en:garlic-puree,40
135,en:e316,40
136,en:red-wine,40
137,fr:foie-gras-de-canard,39
138,en:soya-bean,39
139,en:rennet,38
140,en:clove,38
141,en:soya,38
142,en:cayenne-pepper,37
143,en:whey,37
144,en:honey,36
145,fr:olives-vertes-denoyautees,36
146,en:lysozyme-from-eggs,36
147,en:e160a,36
148,en:pepper-extract,36
149,en:cep,35
150,en:egg-white,35
151,en:peeled-tomatoes,34
152,en:cognac,34
153,en:potato-flakes,34
154,en:mushroom,33
155,en:pecorino-romano,33
156,en:anchovy-paste,33
157,en:e120,33
158,en:whey-powder,32
159,fr:foie-gras-de-canard-du-sud-ouest,32
160,en:dehydrated-onion,32
161,en:chicken-meat,32
162,en:e410,32
163,en:unrefined-cane-sugar,31
164,en:nut,31
165,en:duck-fat,31
166,en:chickpea,31
167,en:natural-basil-flavouring,31
168,en:port,31
169,en:grana-padano,30
170,en:grana-padano-pdo-cheese,30
171,en:chopped-tomatoes,30
172,en:curry,30
173,en:gelling-agent,29
174,en:sheeps-milk,29
175,en:starch,29
176,en:natural-spice-flavouring,29
177,en:tomato-powder,28
178,en:poultry-broth,28
179,en:pecorino,28
180,en:gherkin,28
181,en:molasses,28
182,en:e575,28
183,en:white-wine-vinegar,28
184,en:spirit-vinegar,27
185,en:pork-gelatin,27
186,fr:foie-de-porc,26
187,en:red-chili-pepper,26
188,en:gluten,26
189,en:e161b,26
190,fr:Ingrédients de la préparation déshydratée,26
191,en:emmental,26
192,en:e160,26
193,en:fructose,26
194,en:pulp,25
195,en:fenugreek,25
196,en:atlantic-salmon,24
197,en:hot-chili-peppers,24
198,en:palm,24
199,en:soya-oil,24
200,en:red-wine-vinegar,24
201,en:crushed-peeled-tomato,24
202,en:concentrated-tomato-puree,24
203,en:wheat-gluten,24
204,en:filling,24
205,en:cherry-tomato,23
206,fr:sariette,23
207,fr:coulis-de-tomates,23
208,en:e220,23
209,en:vegetable-oil,23
210,en:vegetable-fiber,23
211,en:beef,22
212,en:lemon,22
213,en:rice-flour,22
214,en:palm-fat,22
215,en:sesame-seeds,22
216,fr:pulpe-de-tomates-avec-morceaux-et-puree-de-tomates,22
217,en:e401,21
218,en:e579,21
219,fr:contiennent du céleri,21
220,en:sauce,21
221,en:salt-from-guerande,21
222,en:wheat-fiber,21
223,en:crustacean,21
224,en:chicken-fillet,21
225,en:ricotta,21
226,en:artichoke,21
227,en:e150,21
228,en:e392,20
229,en:tomato-puree,20
230,fr:foie-maigre-de-canard,20
231,en:coconut-milk,20
232,en:cooked-beef-meat,20
233,en:e500,20
234,en:lemongrass,19
235,en:beef-extract,19
236,fr:legumes-frais,19
237,en:grilled-aubergines,19
238,en:e224,19
239,fr:tomates-sechees-rehydratees,19
240,fr:extrait-d-ail,19
241,en:modified-tapioca-starch,19
242,en:caramelised-sugar,18
243,en:palm-oil,18
244,en:pineapple,18
245,en:natural-onion-flavouring,18
246,en:corn,18
247,en:puree,18
248,en:sweetener,18
249,en:cinnamon,18
250,en:garlic-paste,18
251,en:fennel,18
252,en:sesame-paste,18
253,en:shrimp,18
254,en:ginger-puree,18
255,en:e450,18
256,en:palm-kernel-oil,17
257,fr:oeufs-de-cabillaud-fumes,17
258,en:cider-vinegar,17
259,en:natural-pepper-flavouring,17
260,en:mascarpone,17
261,fr:puree-et-pulpe-de-tomates,17
262,en:caraway,16
263,en:green-pepper,16
264,en:concentrate,16
265,en:ingredient,16
266,en:powdered-egg-white,16
267,en:e306,16
268,fr:couenne-de-porc,16
269,en:tamarind,16
270,en:sunflower,16
271,en:dill,16
272,en:flour-treatment-agent,15
273,en:cooked-chickpeas,15
274,en:smoked-salmon,15
275,en:rice,15
276,en:oil,15
277,en:poultry,15
278,en:citrus-fibre,15
279,en:marjoram,15
280,en:coriander-leaves,15
281,en:tuna,15
282,en:yellow-bell-pepper,15
283,en:natural-garlic-flavouring,15
284,en:e440a,15
