,LIBELLE_PRODUIT_NIELSEN,LIBELLE_PRODUIT_OPTIMISE,MARQUE,INGREDIENTS_PRINCIPAUX,GRAMMAGE,BIO_NON_BIO,CODE_EAN,VOL_CAM_AN-1,VOL_DERNIER_CAM,EVOL,EVOL_PERC,GRAMMAGE_FILLED
0,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF PROVENCALE 1CT 425G * NON BIO,PANZANI PROVENCALE 425G,PANZANI,"TOMATES, CAROTTES, OIGNONS",425.0,NON BIO,3038359005220,1076764.7000000002,1198246.6,121481.8999999999,0.11282121339973335,425.0
1,FECULENTS POT PANZANI SA PANZANI BOLO CLASSIQUE MF BOLOGNAISE 1CT 425G * NON BIO,PANZANI BOLOGNAISE CLASSIQUE 425G,PANZANI,"TOMATES, BŒUF, PORC",425.0,NON BIO,3038359007651,109299.5,1166537.5,1057238.0,9.672853032264557,425.0
2,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES GF PROVENCALE 1CT 600G * NON BIO,PANZANI PROVENCALE 600G,PANZANI,"TOMATES, CAROTTES, OIGNONS",600.0,NON BIO,3038359005213,1097964.6,1160097.4,62132.79999999981,0.056589074001110615,600.0
3,FECULENTS POT PANZANI SA PANZANI BOLO CLASSIQUE MF BOLOGNAISE 1CT 500G * NON BIO,PANZANI BOLOGNAISE CLASSIQUE 500G,PANZANI,"TOMATES, BŒUF, PORC",500.0,NON BIO,3038359004155,921213.1,967241.4,46028.29999999981,0.049964877833369725,500.0
4,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES MF TOMATE CUI 1CT 425G * NON BIO,PANZANI TOMATES CUISINEES 425G,PANZANI,"TOMATES, OIGNONS, CAROTTES",425.0,NON BIO,3038359005237,792896.7999999998,907869.9,114973.1000000001,0.14500386431121945,425.0
5,SAUCES POUR FECULENTS POT BARILLA LEGUMES MF BASILIC 1CT 400G * NON BIO,BARILLA TOMATE BASILIC 400G,BARILLA,"TOMATES, BASILIC",400.0,NON BIO,8076809513722,825467.7,858279.8,32812.100000000086,0.03974970795344275,400.0
6,POUR FECULENTS POT PANZANI SA PANZANI LEGUMES GF TOMATE CUI 1CT 600G * NON BIO,PANZANI TOMATES CUISINEES 600G,PANZANI,"TOMATES, OIGNONS, CAROTTES",600.0,NON BIO,3038354192109,839255.4,837246.7999999998,-2008.6000000002093,-0.002393311976306866,600.0
7,POT PANZANI SA PANZANI BOLO CLASSIQUE GF BOLOGNAISE PUR BOEUF 1CT 650G * NON BIO,PANZANI BOLOGNAISE PUR BŒUF 650G,PANZANI,"TOMATES, BŒUF FRANCAIS CAROTTES, OIGNONS",650.0,NON BIO,3038359007644,38117.9,814203.6,776085.7,20.360137887973885,650.0
8,FECULENTS POT PANZANI SA PANZANI LEGUMES GF TOMATES BASILIC 1CT 600G * NON BIO,PANZANI TOMATES FRAICHES ET BASILIC 600G,PANZANI,"TOMATES, OIGNONS, CAROTTES",600.0,NON BIO,3038354192406,633374.1,755619.0999999999,122244.99999999988,0.1930059975613147,600.0
9,PANZANI SA PANZANI BOLO CLASSIQUE MF BOLOGNAISE EXTRA RICHE 1CT 400G * NON BIO,PANZANI BOLOGNAISE EXTRA RICHE 400G,PANZANI,"TOMATES, BŒUF, PORC ",400.0,NON BIO,3038359003806,619238.6999999997,657555.2000000001,38316.50000000023,0.061876785155708526,400.0
